	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	Model 1	Model 1	Model 2	Model 2	Model 3	Model 3	Model 4	Model 4	Model 5	Model 5	Model 6	Model 6	Model 7	Model 7	Model 8	Model 8
																
novelty	0.170***		0.093***		0.118***		0.113**		0.097***		0.074		0.082***		0.019	
	(0.017)		(0.029)		(0.017)		(0.049)		(0.024)		(0.046)		(0.025)		(0.073)	
1.journal_tier									-0.149***		-0.041		-0.108**		-0.011	
									(0.049)		(0.098)		(0.052)		(0.110)	
0b.journal_tier#co.novelty									0.000		0.000		0.000		0.000	
									(0.000)		(0.000)		(0.000)		(0.000)	
1.journal_tier#c.novelty									0.093***		0.022		0.045**		0.113*	
									(0.021)		(0.041)		(0.022)		(0.068)	
team_size	-0.002		0.025***		-0.002		-0.040		-0.002		0.024***		-0.002		-0.042	
	(0.005)		(0.006)		(0.002)		(0.027)		(0.005)		(0.006)		(0.002)		(0.027)	
first_author_productivity	-0.000		-0.000		0.000		-0.001		-0.000		-0.000		0.000		-0.001*	
	(0.000)		(0.000)		(0.000)		(0.001)		(0.000)		(0.000)		(0.000)		(0.001)	
team_productivity	-0.001***		0.000		-0.001***		0.000		-0.001***		0.000		-0.001***		0.000	
	(0.000)		(0.000)		(0.000)		(0.001)		(0.000)		(0.000)		(0.000)		(0.001)	
phrase_count	-0.011***		-0.004		-0.016***		-0.017**		-0.011***		-0.004		-0.016***		-0.017**	
	(0.002)		(0.004)		(0.003)		(0.008)		(0.002)		(0.004)		(0.003)		(0.008)	
inter_coauthorship	-0.006		0.019		0.058**		0.144		-0.007		0.019		0.058**		0.137	
	(0.032)		(0.053)		(0.028)		(0.092)		(0.032)		(0.053)		(0.028)		(0.092)	
2004.year	-0.036		-0.101**		0.006		-0.141*		-0.037		-0.100**		0.005		-0.142*	
	(0.029)		(0.050)		(0.029)		(0.085)		(0.030)		(0.050)		(0.030)		(0.085)	
2009.year	0.062**		-0.049		0.076***		-0.098		0.063**		-0.048		0.073**		-0.083	
	(0.029)		(0.048)		(0.029)		(0.079)		(0.029)		(0.049)		(0.029)		(0.080)	
lnalpha		1.174***		1.210***		1.197***		1.352***		1.173***		1.210***		1.196***		1.350***
		(0.013)		(0.023)		(0.013)		(0.035)		(0.013)		(0.023)		(0.013)		(0.035)
Constant	0.385***		0.321***		0.531***		0.603***		0.493***		0.355***		0.612***		0.611***	
	(0.036)		(0.058)		(0.034)		(0.087)		(0.051)		(0.100)		(0.051)		(0.125)	
																
Observations	24,531	24,531	8,319	8,319	24,609	24,609	3,742	3,742	24,531	24,531	8,319	8,319	24,609	24,609	3,742	3,742
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Log-likelihood	-40827	-40827	-13645	-13645	-40726	-40726	-5677	-5677	-40819	-40819	-13645	-13645	-40725	-40725	-5675	-5675
Wald chi2	199.5	199.5	53.62	53.62	63.99	63.99	18.64	18.64	220.9	220.9	53.73	53.73	67.96	67.96	24.87	24.87
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
