	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	Model 1	Model 1	Model 2	Model 2	Model 3	Model 3	Model 4	Model 4	Model 5	Model 5	Model 6	Model 6	Model 7	Model 7
														
novelty					0.102***		0.137***		0.105***		0.189***		0.167***	
					(0.012)		(0.014)		(0.015)		(0.023)		(0.025)	
1.journal_tier_rc					-0.058**									
					(0.029)									
0b.journal_tier_rc#co.novelty					0.000									
					(0.000)									
1.journal_tier_rc#c.novelty					0.055***									
					(0.011)									
team_size	-0.000		-0.000		-0.000		-0.002		-0.003		-0.001		-0.001	
	(0.002)		(0.002)		(0.002)		(0.003)		(0.003)		(0.003)		(0.003)	
first_author_productivity	-0.000		-0.000		-0.000		0.000		0.000		-0.000**		-0.000*	
	(0.000)		(0.000)		(0.000)		(0.000)		(0.000)		(0.000)		(0.000)	
team_productivity	-0.001***		-0.001***		-0.001***		-0.001***		-0.001***		-0.000		-0.000	
	(0.000)		(0.000)		(0.000)		(0.000)		(0.000)		(0.000)		(0.000)	
phrase_count	0.004***		0.004***		-0.011***		-0.010***		-0.010***		-0.018***		-0.018***	
	(0.001)		(0.001)		(0.002)		(0.002)		(0.002)		(0.003)		(0.003)	
inter_coauthorship	0.035*		0.035*		0.034*		0.034		0.035		-0.012		-0.013	
	(0.019)		(0.019)		(0.019)		(0.025)		(0.025)		(0.041)		(0.041)	
2004.year	-0.050***		-0.050***		-0.032*		-0.024		-0.022		-0.014		-0.010	
	(0.019)		(0.019)		(0.019)		(0.024)		(0.024)		(0.039)		(0.039)	
2009.year	0.002		0.002		0.049***		0.051**		0.063***		0.060		0.072*	
	(0.018)		(0.018)		(0.018)		(0.023)		(0.023)		(0.037)		(0.038)	
2.field	-0.026		-0.026		-0.021		0.002		0.001		-0.020		-0.018	
	(0.021)		(0.021)		(0.022)		(0.027)		(0.027)		(0.044)		(0.044)	
3.field	-0.012		-0.012		-0.003		-0.035*		-0.025		0.002		0.010	
	(0.015)		(0.015)		(0.015)		(0.019)		(0.019)		(0.031)		(0.032)	
4.field	-0.127***		-0.127***		-0.104***		-0.147***		-0.142***		-0.052		-0.050	
	(0.033)		(0.033)		(0.033)		(0.042)		(0.042)		(0.068)		(0.068)	
novelty_n_p	0.062***													
	(0.016)													
lnalpha		1.205***		1.205***		1.200***		1.177***		1.176***		1.119***		1.118***
		(0.008)		(0.008)		(0.008)		(0.011)		(0.011)		(0.018)		(0.018)
novelty_n_w_c			0.062***											
			(0.016)											
1.journal_tier									-0.034				-0.004	
									(0.036)				(0.059)	
0b.journal_tier#co.novelty									0.000				0.000	
									(0.000)				(0.000)	
1.journal_tier#c.novelty									0.055***				0.038	
									(0.014)				(0.023)	
Constant	0.517***		0.517***		0.476***		0.465***		0.475***		0.499***		0.496***	
	(0.024)		(0.024)		(0.027)		(0.029)		(0.033)		(0.046)		(0.052)	
														
Observations	61,201	61,201	61,201	61,201	61,201	61,201	37,025	37,025	37,025	37,025	12,788	12,788	12,788	12,788
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Field FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Log-likelihood	-100972	-100972	-100972	-100972	-100907	-100907	-61796	-61796	-61782	-61782	-22037	-22037	-22034	-22034
Wald chi2	105	105	105	105	285.2	285.2	190.5	190.5	233	233	90.69	90.69	102.1	102.1
Robust standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
