	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Model 1	Model 1	Model 2	Model 2	Model 3	Model 3	Model 4	Model 4
								
novelty	0.069***		0.067***		0.065***		0.013	
	(0.005)		(0.005)		(0.006)		(0.012)	
1.journal_tier							-0.108***	
							(0.032)	
0b.journal_tier#co.novelty							0.000	
							(0.000)	
1.journal_tier#c.novelty							0.064***	
							(0.014)	
author_count			0.000		-0.000		-0.000	
			(0.002)		(0.002)		(0.002)	
first_author_productivity			-0.000		-0.000		-0.000	
			(0.000)		(0.000)		(0.000)	
team_productivity			-0.000***		-0.000***		-0.000***	
			(0.000)		(0.000)		(0.000)	
inter_coauthorship			0.033*		0.033*		0.033*	
			(0.019)		(0.019)		(0.019)	
2004.year					-0.045**		-0.045**	
					(0.019)		(0.019)	
2009.year					0.015		0.017	
					(0.018)		(0.018)	
2.field					-0.024		-0.021	
					(0.021)		(0.022)	
3.field					-0.010		-0.009	
					(0.015)		(0.015)	
4.field					-0.093***		-0.086***	
					(0.033)		(0.033)	
lnalpha		1.204***		1.203***		1.202***		1.202***
		(0.008)		(0.008)		(0.008)		(0.008)
Constant	0.389***		0.418***		0.446***		0.525***	
	(0.014)		(0.018)		(0.024)		(0.034)	
								
Observations	61,201	61,201	61,201	61,201	61,201	61,201	61,201	61,201
Log-likelihood	-100966	-100966	-100951	-100951	-100942	-100942	-100934	-100934
Wald chi2	160.7	160.7	166.9	166.9	186.8	186.8	208.6	208.6
Year FE					YES	YES	YES	YES
Field FE					YES	YES	YES	YES
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
