	(1)	(2)	(3)	(4)	(5)
VARIABLES	Dependent variable: Ni	Dependent variable: Nj	Dependent variable: Citation	Dependent variable: Ni_foreign_ratio	Dependent variable: Nj_foreign_ratio
					
novelty	0.197***	0.230***	0.229***	0.015***	0.016***
	(0.005)	(0.006)	(0.006)	(0.002)	(0.003)
team_size	0.009***	0.011***	0.011***	-0.002***	-0.002***
	(0.002)	(0.003)	(0.002)	(0.000)	(0.001)
first_author_productivity	0.000***	0.000***	0.000***	-0.000***	-0.000***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
team_productivity	0.000	0.000	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
phrase_count	-0.013***	-0.017***	-0.016***	-0.001**	0.000
	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)
inter_coauthorship	0.032***	0.046***	0.040***	0.001	0.004
	(0.009)	(0.010)	(0.010)	(0.004)	(0.005)
delay_year	0.154***	0.194***	0.181***	0.007***	0.006***
	(0.001)	(0.002)	(0.001)	(0.000)	(0.000)
citation_dynamic				0.000*	0.000***
				(0.000)	(0.000)
journal_tier_orig5	-0.172***	-0.201***	-0.202***	0.016***	0.019***
	(0.003)	(0.004)	(0.004)	(0.001)	(0.002)
2004.year	0.224***	0.239***	0.259***	0.005	0.008*
	(0.008)	(0.009)	(0.009)	(0.003)	(0.005)
2009.year	0.298***	0.397***	0.369***	0.039***	0.050***
	(0.008)	(0.009)	(0.009)	(0.003)	(0.005)
2.field	-0.008	-0.043***	-0.016	0.215***	0.162***
	(0.009)	(0.010)	(0.010)	(0.004)	(0.005)
3.field	-0.109***	-0.077***	-0.109***	0.000	0.007*
	(0.006)	(0.007)	(0.007)	(0.003)	(0.004)
4.field	0.135***	0.008	0.113***	0.020***	0.076***
	(0.014)	(0.016)	(0.016)	(0.005)	(0.008)
Constant	1.522***	0.604***	1.685***	0.285***	0.210***
	(0.013)	(0.015)	(0.015)	(0.005)	(0.007)
					
Observations	61,201	61,201	61,201	61,201	43,462
R-squared	0.346	0.376	0.367	0.066	0.036
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
