focal_id,A_cum_foreign_ratio,C_cum_foreign_ratio
https://openalex.org/W112679860,0.8,0.5
https://openalex.org/W123496065,0.0,0.5
https://openalex.org/W140229332,0.3636,0.0
https://openalex.org/W145704741,0.25,0.0
https://openalex.org/W1479901483,0.3333,0.0
https://openalex.org/W1508366956,0.1667,0.0
https://openalex.org/W1510615428,0.3333,0.0
https://openalex.org/W1518660991,0.0,
https://openalex.org/W1519438511,0.0,
https://openalex.org/W1519690358,0.2857,0.0
https://openalex.org/W1525826344,0.4167,0.0
https://openalex.org/W1537326340,0.25,
https://openalex.org/W1539799364,1.0,
https://openalex.org/W1542245027,0.1538,0.1379
https://openalex.org/W1546498684,0.0,
https://openalex.org/W1547128628,0.6471,0.5
https://openalex.org/W1547802382,0.0,0.0
https://openalex.org/W1557249045,0.2222,0.8571
https://openalex.org/W1564684139,0.0,
https://openalex.org/W1566255917,1.0,
https://openalex.org/W1567329226,0.0,1.0
https://openalex.org/W1580216811,0.3333,
https://openalex.org/W1582424333,0.2,0.0
https://openalex.org/W1583348599,0.3333,0.0
https://openalex.org/W1592357338,0.0,
https://openalex.org/W1604454030,0.2857,0.0
https://openalex.org/W186597584,0.0909,0.0
https://openalex.org/W1875832464,0.0,
https://openalex.org/W1911287656,0.4286,1.0
https://openalex.org/W1926291594,0.3571,0.6
https://openalex.org/W1959391044,0.0,
https://openalex.org/W1963668052,0.25,0.5
https://openalex.org/W1963845080,0.5,0.0
https://openalex.org/W1964443608,0.5,
https://openalex.org/W1964459852,1.0,
https://openalex.org/W1964522283,0.2,0.0
https://openalex.org/W1964713700,0.0,0.0
https://openalex.org/W1964841027,0.3333,
https://openalex.org/W1965075003,0.0,0.0
https://openalex.org/W1965578218,0.0,
https://openalex.org/W1965686018,0.5,0.0
https://openalex.org/W1965768412,0.4,0.0
https://openalex.org/W1966139184,1.0,1.0
https://openalex.org/W1966338194,0.75,0.0
https://openalex.org/W1966362797,0.0,0.0
https://openalex.org/W1966570090,0.0,
https://openalex.org/W1966658812,0.0,
https://openalex.org/W1966828257,0.4,
https://openalex.org/W1967099666,0.3333,0.6667
https://openalex.org/W1967461016,0.0,
https://openalex.org/W1967495926,0.4194,0.2642
https://openalex.org/W1968128799,0.6667,1.0
