new_word,new_word_reuse,new_phrase,new_phrase_reuse,new_word_comb,new_word_comb_reuse,new_phrase_comb,new_phrase_comb_reuse,semantic_distance,n_words,n_phrases,has_abstract,focal_id
0,0,0,0,0,0,0,0,0.1242771744728088,3,1,1,https://openalex.org/W4253619877
0,0,0,0,2,36,2,131,0.1230484247207641,27,4,1,https://openalex.org/W2135654940
0,0,2,18,1,4,3,7,0.1066392064094543,19,9,1,https://openalex.org/W2160277425
0,0,1,2,7,48,20,182,0.1473159193992614,51,18,1,https://openalex.org/W3125323042
0,0,0,0,0,0,0,0,0.221817135810852,9,0,1,https://openalex.org/W1973782740
0,0,2,4,28,805,18,112,0.1691446304321289,43,13,1,https://openalex.org/W2125286303
0,0,0,0,0,0,3,7,0.1986944675445557,23,5,1,https://openalex.org/W2007690016
1,3,2,39,11,26,9,29,0.1794281005859375,21,10,1,https://openalex.org/W3125256595
0,0,0,0,1,95,0,0,0.2284538149833679,17,3,1,https://openalex.org/W2142743870
0,0,0,0,1,2,0,0,0.1594758629798889,35,3,1,https://openalex.org/W1980247795
0,0,0,0,17,151,2,4,0.191977858543396,18,6,1,https://openalex.org/W3122053389
0,0,0,0,0,0,0,0,0.2023943662643433,7,1,1,https://openalex.org/W2041085891
0,0,1,18,9,258,0,0,0.2498704145123663,22,5,1,https://openalex.org/W2052065931
0,0,3,12,5,41,4,24,0.3028542364335013,36,11,1,https://openalex.org/W2009522420
0,0,1,2,22,161,9,56,0.1704311966896057,36,12,1,https://openalex.org/W2069766907
0,0,0,0,2,6,0,0,0.1633230447769165,27,4,1,https://openalex.org/W2063525710
0,0,0,0,9,34,1,3,0.1396275758743286,48,7,1,https://openalex.org/W2143574620
0,0,0,0,0,0,5,19,0.1635156869888305,27,9,1,https://openalex.org/W2167224012
0,0,0,0,0,0,0,0,0.1474252343177795,24,1,1,https://openalex.org/W2142936609
0,0,0,0,20,148,4,10,0.190898597240448,38,5,1,https://openalex.org/W2111853232
1,9,2,26,45,177,25,136,0.1835178732872009,40,19,1,https://openalex.org/W3123266322
0,0,0,0,17,74,13,37,0.1529807448387146,39,16,1,https://openalex.org/W1479901483
0,0,0,0,21,498,12,61,0.1492666006088256,33,12,1,https://openalex.org/W2149066284
0,0,0,0,3,8,2,8,0.1707115173339843,27,6,1,https://openalex.org/W2084214769
1,2,0,0,9,26,1,2,0.260928750038147,57,21,1,https://openalex.org/W1991475006
0,0,0,0,0,0,0,0,0.0972899198532104,4,1,0,https://openalex.org/W1965768412
0,0,0,0,0,0,0,0,0.1010371446609497,5,2,1,https://openalex.org/W2083721457
1,2,0,0,0,0,1,2,0.1861833930015564,30,4,1,https://openalex.org/W2025810685
0,0,0,0,14,97,7,19,0.2264094352722168,41,9,1,https://openalex.org/W2026136061
0,0,2,11,22,171,0,0,0.1452881693840026,50,10,1,https://openalex.org/W1971283722
0,0,0,0,0,0,0,0,0.2144392728805542,44,4,1,https://openalex.org/W2098503872
0,0,0,0,8,45,1,2,0.1946257352828979,19,4,1,https://openalex.org/W2137494851
0,0,0,0,0,0,0,0,0.1490479707717895,24,6,1,https://openalex.org/W2014742830
0,0,0,0,0,0,0,0,0.0770772695541381,5,1,0,https://openalex.org/W2074061621
1,3,5,1708,12,330,6,83,0.185690701007843,23,11,1,https://openalex.org/W2048738772
0,0,0,0,0,0,0,0,0.1953093409538269,21,1,1,https://openalex.org/W1984504292
1,2,0,0,22,204,6,60,0.114360511302948,47,8,1,https://openalex.org/W2014141483
0,0,0,0,0,0,0,0,0.1424822211265564,17,1,1,https://openalex.org/W2052920978
0,0,1,17,7,214,2,6,0.0938220024108886,33,7,1,https://openalex.org/W2150334003
0,0,0,0,0,0,0,0,0.1616346836090088,32,5,1,https://openalex.org/W2108443201
0,0,0,0,0,0,1,10,0.1705543994903564,23,5,1,https://openalex.org/W2079267664
0,0,0,0,0,0,0,0,0.1437814831733703,4,1,0,https://openalex.org/W2150728718
0,0,0,0,0,0,1,4,0.1776288747787475,23,5,1,https://openalex.org/W4255980918
0,0,1,18,1,5,8,38,0.1846880912780761,44,10,1,https://openalex.org/W1985304483
0,0,0,0,0,0,0,0,0.2056840658187866,23,3,1,https://openalex.org/W2136408644
0,0,1,4,15,475,10,40,0.2279762625694275,38,12,1,https://openalex.org/W1975875128
0,0,0,0,4,47,22,50,0.1245043873786926,35,11,1,https://openalex.org/W2059504136
0,0,0,0,0,0,1,2,0.162730872631073,19,5,1,https://openalex.org/W2013861611
1,2,0,0,1,2,0,0,0.1660802364349365,27,5,1,https://openalex.org/W1971144426
0,0,1,7,2,10,3,10,0.1860636472702026,27,8,1,https://openalex.org/W1998960900
0,0,0,0,0,0,0,0,0.122489333152771,4,0,0,https://openalex.org/W1975323984
0,0,0,0,17,98,4,8,0.1880348920822143,27,15,1,https://openalex.org/W2130140970
0,0,0,0,0,0,6,124,0.2475878596305847,12,7,1,https://openalex.org/W2005198731
