work_id,n_authors,n_affiliations,n_countries,countries,is_international
https://openalex.org/W112679860,3,3,1,US,0
https://openalex.org/W123496065,3,3,1,US,0
https://openalex.org/W140229332,3,3,0,,0
https://openalex.org/W145704741,2,2,0,,0
https://openalex.org/W1479901483,1,1,0,,0
https://openalex.org/W1508366956,1,1,0,,0
https://openalex.org/W1510615428,3,3,1,US,0
https://openalex.org/W1518660991,1,1,0,,0
https://openalex.org/W1519438511,2,2,0,,0
https://openalex.org/W1519690358,3,3,2,"US,ZA",1
https://openalex.org/W1525826344,2,2,1,GB,0
https://openalex.org/W1537326340,1,1,0,,0
https://openalex.org/W1539799364,2,2,1,GB,0
https://openalex.org/W1542245027,4,4,1,GB,0
https://openalex.org/W1546498684,2,2,1,AU,0
https://openalex.org/W1547128628,2,2,0,,0
https://openalex.org/W1547802382,1,1,0,,0
https://openalex.org/W1557249045,1,1,0,,0
https://openalex.org/W1564684139,2,2,1,US,0
https://openalex.org/W1566255917,2,2,2,"GB,US",1
https://openalex.org/W1567329226,3,3,1,US,0
https://openalex.org/W1580216811,3,3,1,GB,0
https://openalex.org/W1582424333,2,2,0,,0
https://openalex.org/W1583348599,3,3,0,,0
https://openalex.org/W1592357338,5,5,2,"GB,NZ",1
https://openalex.org/W1604454030,1,1,0,,0
https://openalex.org/W186597584,1,1,0,,0
https://openalex.org/W1875832464,3,3,1,US,0
https://openalex.org/W1911287656,2,2,1,US,0
https://openalex.org/W1926291594,1,1,0,,0
https://openalex.org/W1959391044,3,3,2,"GB,US",1
https://openalex.org/W1963668052,1,1,0,,0
https://openalex.org/W1963845080,1,1,0,,0
https://openalex.org/W1964443608,4,5,1,US,0
https://openalex.org/W1964459852,2,2,1,ES,0
https://openalex.org/W1964522283,2,2,1,US,0
https://openalex.org/W1964713700,2,2,1,NZ,0
https://openalex.org/W1964841027,1,1,0,,0
https://openalex.org/W1965075003,2,2,1,MY,0
https://openalex.org/W1965578218,2,2,1,GB,0
https://openalex.org/W1965686018,2,2,1,JP,0
https://openalex.org/W1965768412,2,2,1,US,0
https://openalex.org/W1966139184,3,3,1,HK,0
https://openalex.org/W1966338194,4,4,0,,0
https://openalex.org/W1966362797,1,1,0,,0
https://openalex.org/W1966570090,1,1,0,,0
https://openalex.org/W1966658812,2,2,1,GB,0
https://openalex.org/W1966828257,1,1,0,,0
https://openalex.org/W1967099666,1,1,0,,0
https://openalex.org/W1967461016,4,4,1,US,0
https://openalex.org/W1967495926,2,2,1,HK,0
https://openalex.org/W1968128799,1,1,0,,0
https://openalex.org/W1968262618,1,1,0,,0
https://openalex.org/W1968817361,1,1,0,,0
https://openalex.org/W1969212412,1,1,0,,0
https://openalex.org/W1969265413,2,2,1,GB,0
https://openalex.org/W1969349522,2,2,1,DE,0
https://openalex.org/W1969481673,3,3,0,,0
https://openalex.org/W1969596871,2,2,0,,0
https://openalex.org/W1969780934,1,1,0,,0
https://openalex.org/W1970017864,1,1,0,,0
https://openalex.org/W1970126236,2,2,1,US,0
https://openalex.org/W1970417167,1,1,0,,0
https://openalex.org/W1970491547,1,1,0,,0
https://openalex.org/W1970616524,3,3,1,CA,0
https://openalex.org/W1971144426,2,2,1,US,0
https://openalex.org/W1971283722,1,1,0,,0
https://openalex.org/W1971571318,2,2,1,US,0
https://openalex.org/W1971907716,2,2,1,FR,0
https://openalex.org/W1972156925,2,2,1,US,0
https://openalex.org/W1972221426,3,3,1,CZ,0
https://openalex.org/W1972225102,2,2,1,GB,0
https://openalex.org/W1972387448,1,1,0,,0
https://openalex.org/W1972994331,2,2,1,AU,0
https://openalex.org/W1973706554,4,4,0,,0
https://openalex.org/W1973782740,2,2,1,US,0
https://openalex.org/W1973956815,2,2,1,US,0
https://openalex.org/W1974213822,2,2,1,US,0
https://openalex.org/W1975034403,3,3,1,AU,0
https://openalex.org/W1975294000,3,3,1,GB,0
https://openalex.org/W1975323984,3,3,1,US,0
https://openalex.org/W1975652022,4,4,1,GB,0
https://openalex.org/W1975875128,1,1,0,,0
https://openalex.org/W1975987200,2,2,0,,0
https://openalex.org/W1976008656,3,3,1,US,0
https://openalex.org/W1976233442,2,2,1,US,0
https://openalex.org/W1976406320,3,3,0,,0
https://openalex.org/W1976566279,3,3,2,"IT,SE",1
https://openalex.org/W1977092654,2,2,1,TH,0
https://openalex.org/W1978361971,1,1,0,,0
https://openalex.org/W1978818664,1,1,0,,0
https://openalex.org/W1978862321,2,2,2,"GB,JO",1
https://openalex.org/W1978917549,2,2,0,,0
https://openalex.org/W1979189996,1,1,0,,0
https://openalex.org/W1979749010,2,4,2,"GB,US",1
https://openalex.org/W1979789475,1,1,0,,0
https://openalex.org/W1979826157,3,3,0,,0
https://openalex.org/W1979886040,2,2,1,NL,0
https://openalex.org/W1980247795,2,4,1,CA,0
https://openalex.org/W1980287987,1,1,0,,0
https://openalex.org/W1980626775,2,2,1,US,0
https://openalex.org/W1980717731,3,3,2,"BG,PT",1
https://openalex.org/W1981020613,2,2,1,US,0
https://openalex.org/W1981221041,1,1,0,,0
https://openalex.org/W1981849920,1,1,0,,0
https://openalex.org/W1981858391,4,4,1,US,0
https://openalex.org/W1982037127,2,2,1,CA,0
https://openalex.org/W1982113842,1,1,0,,0
https://openalex.org/W1982554537,1,1,0,,0
https://openalex.org/W1982792314,1,1,0,,0
https://openalex.org/W1982802181,1,1,0,,0
https://openalex.org/W1982877118,1,1,0,,0
https://openalex.org/W1983380146,2,2,1,GB,0
https://openalex.org/W1983585567,1,1,0,,0
