focal_id,A_cum_foreign_ratio,C_cum_foreign_ratio
https://openalex.org/W114869354,0.25,
https://openalex.org/W116375467,1.0,
https://openalex.org/W1211935166,0.0,
https://openalex.org/W136070918,0.5556,0.1667
https://openalex.org/W1484223719,0.6,
https://openalex.org/W1484246882,0.1111,
https://openalex.org/W1492448641,1.0,
https://openalex.org/W149245082,1.0,1.0
https://openalex.org/W1495999116,1.0,
https://openalex.org/W1497871329,1.0,
https://openalex.org/W1498633852,1.0,1.0
https://openalex.org/W1500749764,0.6,
https://openalex.org/W1502445466,0.3333,0.2143
https://openalex.org/W1505982160,0.1429,0.0
https://openalex.org/W1507049374,0.5,0.0
https://openalex.org/W1508770994,0.0,0.0
https://openalex.org/W1513210169,1.0,
https://openalex.org/W1533605450,0.2222,0.0
https://openalex.org/W1533978004,0.0,
https://openalex.org/W1539468081,0.1,0.0
https://openalex.org/W1543108787,0.75,0.0
https://openalex.org/W1546222654,1.0,
https://openalex.org/W1552086914,1.0,
https://openalex.org/W1554755256,0.7,0.25
https://openalex.org/W1557766039,0.0,
https://openalex.org/W156137099,0.9231,0.0
https://openalex.org/W1564499113,0.0,1.0
https://openalex.org/W1566276031,0.3333,0.0
https://openalex.org/W1573506759,0.5,
https://openalex.org/W1574264433,0.0,
https://openalex.org/W1581690424,0.0,0.0
https://openalex.org/W1583901624,0.4,0.6
https://openalex.org/W1590729195,0.25,0.0
https://openalex.org/W1593921329,0.0,
https://openalex.org/W1601649462,0.3333,0.3333
https://openalex.org/W1605276728,0.0,
https://openalex.org/W1605619295,0.25,0.0
https://openalex.org/W1606370271,0.6667,1.0
https://openalex.org/W1607870159,0.0,0.0
https://openalex.org/W1617446374,1.0,0.0
https://openalex.org/W1620696900,1.0,
https://openalex.org/W1630607085,0.25,0.2
https://openalex.org/W1639698584,0.0,
https://openalex.org/W1644775552,0.3333,
https://openalex.org/W166512237,0.5,0.5
https://openalex.org/W1673508942,0.0,0.0
https://openalex.org/W1682777897,0.4186,0.3793
https://openalex.org/W172193357,0.7857,0.0
https://openalex.org/W1738721709,0.0,0.0
https://openalex.org/W1758948713,0.0,
https://openalex.org/W1813850579,0.6593,0.4857
https://openalex.org/W1820274981,0.0,
https://openalex.org/W1839321208,0.6667,
https://openalex.org/W184713255,0.7143,0.75
https://openalex.org/W1859454870,0.125,0.0
https://openalex.org/W1864361999,0.2,0.0
https://openalex.org/W188097753,0.0,0.0
https://openalex.org/W1887241335,0.0,
https://openalex.org/W188839125,0.0,0.0
https://openalex.org/W1906016510,0.0,0.0
https://openalex.org/W1909281877,0.3684,0.1667
https://openalex.org/W1918375305,0.0,0.0
https://openalex.org/W1963484142,0.6667,
https://openalex.org/W1963492608,0.25,0.0
https://openalex.org/W1963496985,0.8,0.0
https://openalex.org/W1963503284,0.1458,0.3
https://openalex.org/W1963578200,0.0,
https://openalex.org/W1963616280,0.0,0.0
https://openalex.org/W1963624488,1.0,
https://openalex.org/W1963671226,0.0,
https://openalex.org/W1963693575,1.0,
https://openalex.org/W1963699052,0.0,0.0
https://openalex.org/W1963736023,0.5714,1.0
https://openalex.org/W1963779972,0.0,
https://openalex.org/W1963835408,0.0,
https://openalex.org/W1963875456,0.5,1.0
https://openalex.org/W1963876826,0.1333,0.0
https://openalex.org/W1963907898,0.6667,0.0
https://openalex.org/W1963921133,0.4,0.4
https://openalex.org/W1964035787,0.0,
https://openalex.org/W1964067378,0.6154,0.5556
https://openalex.org/W1964090278,0.2,1.0
https://openalex.org/W1964160430,0.381,0.25
https://openalex.org/W1964173007,0.5,0.0
https://openalex.org/W1964187495,0.0,
https://openalex.org/W1964229496,0.3061,0.1667
https://openalex.org/W1964298791,0.125,0.3333
https://openalex.org/W1964374645,0.1667,0.0
https://openalex.org/W1964414258,0.7273,0.6667
https://openalex.org/W1964442184,0.3333,0.0
https://openalex.org/W1964542241,0.4167,0.5
https://openalex.org/W1964554555,0.1111,0.5
https://openalex.org/W1964584733,0.0,
https://openalex.org/W1964610880,1.0,1.0
https://openalex.org/W1964641556,0.0,0.2
https://openalex.org/W1964660884,0.0,
https://openalex.org/W1964678358,0.3333,
https://openalex.org/W1964701289,0.0,
https://openalex.org/W1964729047,0.6667,
https://openalex.org/W1964778066,0.6364,1.0
https://openalex.org/W1964790783,0.5714,0.0
https://openalex.org/W1964827711,0.6667,
https://openalex.org/W1964840749,0.375,
https://openalex.org/W1964853668,0.5,
https://openalex.org/W1964867641,1.0,0.0
https://openalex.org/W1964880395,0.5,0.0
https://openalex.org/W1964894025,0.5294,0.7273
https://openalex.org/W1964943877,0.0,
https://openalex.org/W1964969327,0.2,0.0
https://openalex.org/W1964979546,1.0,
https://openalex.org/W1965086377,0.5,0.4
https://openalex.org/W1965087653,0.0,0.0
https://openalex.org/W1965092856,0.0,
https://openalex.org/W1965132712,0.0,1.0
https://openalex.org/W1965158546,0.1667,0.75
https://openalex.org/W1965259766,1.0,
https://openalex.org/W1965281495,0.2,
https://openalex.org/W1965347807,0.5556,0.6
https://openalex.org/W1965353346,0.3333,1.0
https://openalex.org/W1965353670,0.0,0.0
https://openalex.org/W1965358511,0.2222,0.25
https://openalex.org/W1965362530,0.0,
https://openalex.org/W1965404111,0.4444,0.0
https://openalex.org/W1965426108,0.8571,1.0
https://openalex.org/W1965455036,0.5,
https://openalex.org/W1965481158,0.5,0.0
https://openalex.org/W1965491358,0.1,0.25
https://openalex.org/W1965495954,0.75,1.0
https://openalex.org/W1965514128,0.0,0.0
https://openalex.org/W1965517396,0.5,
https://openalex.org/W1965570981,0.3333,0.25
https://openalex.org/W1965577267,1.0,0.0
https://openalex.org/W1965609529,1.0,
https://openalex.org/W1965643305,0.25,0.0
https://openalex.org/W1965682018,0.5,
https://openalex.org/W1965727330,0.3235,0.3043
https://openalex.org/W1965735368,0.0,0.0
https://openalex.org/W1965823884,0.0,
https://openalex.org/W1965837573,0.3333,0.0
https://openalex.org/W1965850246,0.2857,0.7143
https://openalex.org/W1965904862,0.5,0.6667
https://openalex.org/W1965934330,0.3,0.125
https://openalex.org/W1965949558,1.0,
https://openalex.org/W1966013738,0.0,
https://openalex.org/W1966016299,0.25,1.0
https://openalex.org/W1966088952,0.0,
https://openalex.org/W1966102015,0.0,0.0
https://openalex.org/W1966109541,1.0,
https://openalex.org/W1966123361,0.4,0.0
https://openalex.org/W1966287161,0.5,0.0
https://openalex.org/W1966318760,0.0,
https://openalex.org/W1966328450,0.1429,0.0
https://openalex.org/W1966366124,0.2,
https://openalex.org/W1966372778,0.6667,0.75
https://openalex.org/W1966375535,0.1667,0.75
https://openalex.org/W1966377152,0.2857,0.0
https://openalex.org/W1966389892,0.5455,0.625
https://openalex.org/W1966409393,0.0,0.0
https://openalex.org/W1966453322,1.0,
https://openalex.org/W1966471643,0.0,
https://openalex.org/W1966481202,0.0,
https://openalex.org/W1966548540,0.3333,
https://openalex.org/W1966628326,0.5385,0.5
https://openalex.org/W1966636905,0.0,
https://openalex.org/W1966660696,0.0,
https://openalex.org/W1966697286,0.6667,1.0
https://openalex.org/W1966737446,0.0,
https://openalex.org/W1966756828,0.0,
https://openalex.org/W1966771380,0.7778,0.75
https://openalex.org/W1966829317,0.0,0.0
https://openalex.org/W1966855182,0.0,0.0
https://openalex.org/W1966874947,0.0,0.0
https://openalex.org/W1966899377,0.4286,0.6
https://openalex.org/W1966899614,0.0,0.1
https://openalex.org/W1966912428,0.0,
https://openalex.org/W1966916054,0.25,0.0
https://openalex.org/W1966934656,0.3333,0.0
https://openalex.org/W1966950661,0.8,0.0
https://openalex.org/W1967044015,0.0,
https://openalex.org/W1967056638,0.0,0.0
https://openalex.org/W1967081302,0.3333,1.0
https://openalex.org/W1967082230,0.5,1.0
https://openalex.org/W1967093658,1.0,
https://openalex.org/W1967116583,0.3333,0.1905
https://openalex.org/W1967117100,0.5714,0.0
https://openalex.org/W1967192908,0.2222,0.0
https://openalex.org/W1967194847,0.625,0.3571
https://openalex.org/W1967214656,0.6522,0.6429
https://openalex.org/W1967281209,0.5217,0.8333
https://openalex.org/W1967282060,0.2,0.0
https://openalex.org/W1967410320,0.0,
https://openalex.org/W1967410915,0.0,0.5
https://openalex.org/W1967434767,0.4286,1.0
https://openalex.org/W1967462144,0.5,0.0
https://openalex.org/W1967475083,1.0,0.0
https://openalex.org/W1967665529,0.0,0.0
https://openalex.org/W1967684461,0.5,0.0
https://openalex.org/W1967739734,0.0,
https://openalex.org/W1967817024,0.1429,
https://openalex.org/W1967838798,0.0,0.0
https://openalex.org/W1967868681,0.6863,0.7692
https://openalex.org/W1967868795,1.0,
https://openalex.org/W1967871577,0.3333,0.0
https://openalex.org/W1967887529,0.0,
https://openalex.org/W1967890011,0.0,0.0
https://openalex.org/W1967936211,0.1667,0.0
https://openalex.org/W1967946934,0.0,0.0
https://openalex.org/W1967971403,0.0,
https://openalex.org/W1967973648,1.0,
https://openalex.org/W1968021248,0.1667,0.25
