focal_id,A_cum_foreign_ratio,C_cum_foreign_ratio
https://openalex.org/W10905378,0.5,
https://openalex.org/W116375467,0.0,
https://openalex.org/W1249047937,0.6667,0.7143
https://openalex.org/W126168250,0.6429,0.3333
https://openalex.org/W1480569219,0.1667,0.3333
https://openalex.org/W1482570652,0.3125,0.1538
https://openalex.org/W1493204368,1.0,
https://openalex.org/W1494561330,0.3846,0.5
https://openalex.org/W1498633852,0.2,0.0
https://openalex.org/W1499787182,0.2632,0.25
https://openalex.org/W1501551071,0.3333,0.25
https://openalex.org/W1509950743,1.0,
https://openalex.org/W1518736008,0.6667,
https://openalex.org/W1524169381,0.25,
https://openalex.org/W1529566428,0.0,0.0
https://openalex.org/W1531230592,0.6667,0.75
https://openalex.org/W1531308969,0.5,
https://openalex.org/W1533697325,0.7143,1.0
https://openalex.org/W154014740,0.3333,0.0
https://openalex.org/W1543796853,0.6,
https://openalex.org/W1552086914,1.0,
https://openalex.org/W1554448134,0.5,
https://openalex.org/W1558598870,0.75,
https://openalex.org/W1559900440,1.0,
https://openalex.org/W1570519806,0.0,0.0
https://openalex.org/W1575279953,0.6667,0.0
https://openalex.org/W1576082777,0.4545,0.3333
https://openalex.org/W1586895761,1.0,
https://openalex.org/W1590729195,0.625,0.4
https://openalex.org/W1591674977,0.0,
https://openalex.org/W1593933526,1.0,
https://openalex.org/W1594070576,0.5,0.4286
https://openalex.org/W1596733936,0.8,0.6667
https://openalex.org/W1606527875,0.8,0.6667
https://openalex.org/W1649842740,0.5,0.4
https://openalex.org/W1657274049,0.7,0.5
https://openalex.org/W1734451748,0.5524,0.4167
https://openalex.org/W1763513677,1.0,1.0
https://openalex.org/W176850897,0.6667,1.0
https://openalex.org/W1813850579,0.4528,0.24
https://openalex.org/W184713255,0.1429,0.25
https://openalex.org/W1856490756,0.2727,0.5
https://openalex.org/W1871150467,1.0,0.0
https://openalex.org/W1890538852,0.3333,1.0
https://openalex.org/W18934947,0.5,0.0
https://openalex.org/W1908075352,0.5833,0.8333
https://openalex.org/W19098562,0.5714,0.0
https://openalex.org/W1922324557,0.6667,0.2143
https://openalex.org/W1963506227,0.5294,0.7
https://openalex.org/W1963693575,1.0,
https://openalex.org/W1963779972,0.0,
https://openalex.org/W1963876826,0.4286,0.0
https://openalex.org/W1964035787,0.0,
https://openalex.org/W1964090278,0.6,1.0
https://openalex.org/W1964173007,1.0,1.0
https://openalex.org/W1964197631,0.25,0.5
https://openalex.org/W1964213175,0.25,
https://openalex.org/W1964243029,1.0,
https://openalex.org/W1964249772,0.5,
https://openalex.org/W1964384720,1.0,
https://openalex.org/W1964456676,1.0,
https://openalex.org/W1964844156,0.5,
https://openalex.org/W1964875240,0.5,0.6667
https://openalex.org/W1964898510,0.8182,0.4
https://openalex.org/W1964934190,0.5,0.0
https://openalex.org/W1964979546,1.0,
https://openalex.org/W1965132712,1.0,1.0
https://openalex.org/W1965353346,0.6667,1.0
https://openalex.org/W1965514128,0.5,1.0
https://openalex.org/W1965553505,0.5,
https://openalex.org/W1965570147,0.3333,0.3333
https://openalex.org/W1965627577,0.0,
https://openalex.org/W1965705562,0.0,0.0
https://openalex.org/W1966016299,1.0,1.0
https://openalex.org/W1966123361,0.6667,1.0
