focal_id,DI_y1,A_y1,B_y1,C_y1,DI_y2,A_y2,B_y2,C_y2,DI_y3,A_y3,B_y3,C_y3,DI_y4,A_y4,B_y4,C_y4,DI_y5,A_y5,B_y5,C_y5,DI_y6,A_y6,B_y6,C_y6,DI_y7,A_y7,B_y7,C_y7,DI_y8,A_y8,B_y8,C_y8,DI_y9,A_y9,B_y9,C_y9,DI_y10,A_y10,B_y10,C_y10,DI_y11,A_y11,B_y11,C_y11,DI_y12,A_y12,B_y12,C_y12,DI_y13,A_y13,B_y13,C_y13,DI_y14,A_y14,B_y14,C_y14,DI_y15,A_y15,B_y15,C_y15,DI_y3_top5,DI_y4_top5,DI_y5_top5,DI_y6_top5,DI_y7_top5,DI_y8_top5,DI_y9_top5,DI_y10_top5,DI_y11_top5,DI_y12_top5,DI_y13_top5,DI_y14_top5,DI_y15_top5,years_in_top5,first_year_top5,last_year_top5
https://openalex.org/W122671926,0.0667,1,14,0,0.0357,1,27,0,0.0156,1,63,0,0.012,1,82,0,0.0108,1,92,0,0.0189,2,104,0,0.0168,2,117,0,0.016,2,123,0,0.0221,3,133,0,0.0205,3,143,0,0.0191,3,154,0,0.0301,5,161,0,0.0291,5,167,0,0.0279,5,174,0,0.027,6,178,1,True,False,False,True,True,True,True,True,True,True,True,True,True,11,DI_y3_top5,DI_y15_top5
https://openalex.org/W127958452,0.0,0,28,0,-0.0357,0,54,2,-0.0333,0,87,3,-0.0268,0,109,3,-0.021,0,140,3,-0.0151,0,196,3,-0.0081,2,241,4,-0.0036,3,272,4,-0.003,3,322,4,0.0,4,363,4,0.0072,7,405,4,0.0112,9,434,4,0.0167,13,462,5,0.0192,15,501,5,0.0195,17,541,6,False,False,False,False,False,False,False,False,False,False,False,True,True,2,DI_y14_top5,DI_y15_top5
https://openalex.org/W134252754,-0.0357,0,27,1,0.0233,2,40,1,0.0,2,59,2,0.0,2,70,2,0.0106,3,89,2,0.0,3,107,3,0.0,3,120,3,0.0067,5,140,4,-0.006,5,156,6,0.0053,8,172,7,0.0149,10,184,7,0.0271,13,201,7,0.0303,14,210,7,0.0372,16,219,7,0.0347,17,234,8,False,False,False,False,False,False,False,False,False,True,True,True,True,4,DI_y12_top5,DI_y15_top5
https://openalex.org/W1481578427,0.0,0,12,0,0.0,0,29,0,0.0,0,47,0,0.0,1,57,1,0.0145,2,66,1,0.0194,3,99,1,0.0224,4,129,1,0.0223,5,173,1,0.0145,6,198,3,0.0081,7,236,5,-0.0137,7,275,11,-0.0203,7,324,14,-0.0236,7,359,16,-0.0265,7,390,18,-0.0218,8,432,18,False,False,True,True,True,True,False,False,False,False,False,False,False,4,DI_y5_top5,DI_y8_top5
https://openalex.org/W1481894647,0.0476,3,38,1,0.0423,4,66,1,0.0317,6,118,2,0.0455,9,143,2,0.0387,9,170,2,0.0333,9,199,2,0.0293,9,228,2,0.0312,10,244,2,0.033,11,260,2,0.0309,11,278,2,0.029,11,297,2,0.028,11,308,2,0.0269,11,322,2,0.0256,11,338,2,0.0251,11,346,2,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W1484223719,0.0,0,49,0,0.0426,4,90,0,0.0355,5,136,0,0.0211,5,184,1,0.0165,5,236,1,0.0141,5,278,1,0.0213,8,320,1,0.0183,8,374,1,0.0165,8,414,1,0.0127,8,464,2,0.0112,8,527,2,0.01,8,593,2,0.0075,8,657,3,0.0081,9,732,3,0.0074,9,795,3,True,True,True,False,True,True,True,False,False,False,False,False,False,6,DI_y3_top5,DI_y9_top5
https://openalex.org/W1487783502,0.0112,6,529,0,0.0121,13,1059,0,0.0138,24,1719,0,0.0122,29,2340,0,0.0101,32,3025,1,0.0095,38,3749,2,0.0087,44,4526,4,0.0079,46,5286,4,0.0072,48,6059,4,0.0067,50,6837,4,0.0062,51,7533,4,0.0059,53,8214,4,0.0057,54,8752,4,0.0053,55,9302,5,0.0053,57,9794,5,True,False,False,False,False,False,False,False,False,False,False,False,False,1,DI_y3_top5,DI_y3_top5
https://openalex.org/W1488186435,0.0,1,36,1,-0.0145,1,66,2,-0.0109,1,89,2,0.0,3,121,3,0.0,3,136,3,0.0,3,158,3,0.0,4,178,4,0.0148,8,190,5,0.0228,10,204,5,0.0299,12,217,5,0.0315,13,236,5,0.0214,14,258,8,0.0299,17,276,8,0.0285,17,291,8,0.0272,17,306,8,False,False,False,False,False,False,True,True,True,True,True,True,True,7,DI_y9_top5,DI_y15_top5
https://openalex.org/W1491327455,0.0,0,6,0,0.0,0,11,0,0.0,0,39,0,0.04,2,48,0,0.05,3,57,0,0.0286,3,66,1,0.04,4,70,1,0.0641,6,71,1,0.0741,7,73,1,0.0706,7,77,1,0.0674,7,81,1,0.0729,8,87,1,0.0729,8,87,1,0.0729,8,87,1,0.0722,8,88,1,False,True,True,True,True,True,True,True,True,True,True,True,True,12,DI_y4_top5,DI_y15_top5
https://openalex.org/W1493392221,0.0128,1,77,0,0.0142,2,139,0,0.0144,3,206,0,0.0108,4,272,1,0.0086,4,343,1,0.0071,4,418,1,0.006,4,499,1,0.0051,4,584,1,0.0045,4,665,1,0.0053,5,743,1,0.005,5,799,1,0.0045,5,883,1,0.0042,5,950,1,0.0039,5,1032,1,0.0035,5,1124,1,True,False,False,False,False,False,False,False,False,False,False,False,False,1,DI_y3_top5,DI_y3_top5
