focal_id,DI_y1,A_y1,B_y1,C_y1,DI_y2,A_y2,B_y2,C_y2,DI_y3,A_y3,B_y3,C_y3,DI_y4,A_y4,B_y4,C_y4,DI_y5,A_y5,B_y5,C_y5,DI_y6,A_y6,B_y6,C_y6,DI_y7,A_y7,B_y7,C_y7,DI_y8,A_y8,B_y8,C_y8,DI_y9,A_y9,B_y9,C_y9,DI_y10,A_y10,B_y10,C_y10,DI_y11,A_y11,B_y11,C_y11,DI_y12,A_y12,B_y12,C_y12,DI_y13,A_y13,B_y13,C_y13,DI_y14,A_y14,B_y14,C_y14,DI_y15,A_y15,B_y15,C_y15
https://openalex.org/W102934863,-0.0085,0,234,2,-0.0147,0,401,6,-0.0165,0,596,10,-0.014,0,772,11,-0.015,0,919,14,-0.0138,0,1069,15,-0.012,0,1235,15,-0.0108,0,1376,15,-0.0097,0,1539,15,-0.0083,1,1666,15,-0.0082,1,1806,16,-0.0077,1,1932,16,-0.0072,1,2057,16,-0.0068,1,2205,16,-0.0064,1,2335,16
https://openalex.org/W103460976,0.0,0,151,0,0.0,2,286,2,-0.0073,3,404,6,-0.0115,3,508,9,-0.0093,5,627,11,-0.0025,12,789,14,-0.0021,12,921,14,0.0,14,1103,14,0.0016,17,1243,15,0.0014,20,1383,18,0.0032,23,1500,18,0.0029,24,1678,19,0.0059,31,1829,20,0.0064,34,1974,21,0.006,37,2108,24
https://openalex.org/W1036161971,0.0047,1,214,0,0.0025,1,404,0,0.0016,1,626,0,0.0011,1,875,0,-0.0009,1,1071,2,-0.0008,1,1267,2,-0.0007,1,1454,2,-0.0006,1,1620,2,-0.0006,1,1757,2,-0.0005,1,1900,2,-0.0005,1,2049,2,-0.0005,1,2178,2,-0.0004,1,2314,2,-0.0012,1,2461,4,-0.0012,1,2582,4
https://openalex.org/W104616907,-0.05,0,95,5,-0.0385,0,200,8,-0.0225,2,344,10,-0.0194,3,449,12,-0.0171,4,567,14,-0.0155,5,687,16,-0.0148,7,850,20,-0.0155,8,997,24,-0.0145,10,1139,27,-0.0119,11,1301,27,-0.0113,13,1462,30,-0.0109,13,1605,31,-0.0104,14,1774,33,-0.0101,14,1929,34,-0.0084,17,2089,35
https://openalex.org/W106427786,-0.0156,0,126,2,-0.0218,0,224,5,-0.0181,0,325,6,-0.0183,0,430,8,-0.0225,0,521,12,-0.0238,0,616,15,-0.0232,0,715,17,-0.0243,0,802,20,-0.0263,1,888,25,-0.0282,1,962,29,-0.0272,1,1036,30,-0.0263,1,1108,31,-0.0248,2,1177,32,-0.0236,2,1237,32,-0.0229,2,1319,33
https://openalex.org/W106622633,-0.0183,3,209,7,-0.0178,5,432,13,-0.015,8,641,18,-0.0145,11,860,24,-0.0128,11,1137,26,-0.0101,11,1442,26,-0.0102,11,1728,29,-0.0109,11,1981,33,-0.0101,12,2232,35,-0.0095,13,2484,37,-0.0092,13,2773,39,-0.009,14,3046,42,-0.0092,15,3312,46,-0.0084,18,3608,49,-0.0079,18,3869,49
https://openalex.org/W108081818,-0.0272,0,250,7,-0.0157,2,560,11,-0.0143,2,889,15,-0.0179,2,1200,24,-0.016,2,1471,26,-0.0151,2,1754,29,-0.0138,2,2073,31,-0.0127,2,2398,33,-0.0116,2,2715,34,-0.0104,2,3031,34,-0.0099,2,3313,35,-0.0089,2,3681,35,-0.0081,2,4040,35,-0.0075,2,4358,35,-0.0072,2,4685,36
https://openalex.org/W108273019,0.0,0,31,0,-0.0164,0,60,1,-0.0361,0,80,3,-0.045,0,106,5,-0.0432,0,133,6,-0.0419,0,160,7,-0.0462,0,186,9,-0.04,2,212,11,-0.0354,4,237,13,-0.0287,6,259,14,-0.0229,7,285,14,-0.0248,7,301,15,-0.0261,8,320,17,-0.0277,9,333,19,-0.0286,10,353,21
https://openalex.org/W108323110,-0.25,0,6,2,-0.1111,0,16,2,-0.1071,0,25,3,-0.0732,1,36,4,-0.0577,2,45,5,-0.05,2,53,5,-0.0405,2,67,5,-0.0435,3,82,7,-0.0265,5,100,8,-0.0078,8,111,9,0.0,9,131,9,0.0058,10,153,9,0.0102,11,176,9,0.0093,11,196,9,0.0086,11,213,9
https://openalex.org/W110333664,0.004,1,252,0,0.0019,1,515,0,0.0,2,772,2,-0.0056,2,1055,8,-0.005,3,1381,10,-0.0052,3,1709,12,-0.0045,3,2000,12,-0.005,3,2363,15,-0.0051,3,2702,17,-0.0053,3,3014,19,-0.0054,4,3324,22,-0.0055,4,3635,24,-0.0052,5,3984,26,-0.0054,5,4256,28,-0.0057,5,4503,31
https://openalex.org/W111984681,-0.0224,0,131,3,-0.0115,2,253,5,-0.007,4,418,7,-0.0036,5,550,7,-0.0014,6,691,7,-0.0035,6,833,9,-0.004,6,983,10,-0.0034,6,1157,10,-0.0007,9,1354,10,-0.0006,9,1537,10,-0.0006,9,1718,10,-0.0005,9,1907,10,-0.0005,9,2071,10,-0.0009,9,2236,11,-0.0004,10,2428,11
https://openalex.org/W112797033,0.0,0,124,0,0.0,0,233,0,0.0,0,388,0,-0.0019,0,528,1,-0.003,0,663,2,-0.0049,0,820,4,-0.0041,0,979,4,-0.0036,0,1122,4,-0.0031,0,1286,4,-0.0028,0,1412,4,-0.0032,0,1580,5,-0.0034,0,1747,6,-0.0042,0,1899,8,-0.0044,0,2053,9,-0.0041,0,2207,9
https://openalex.org/W1129091413,0.0,0,151,0,0.0,0,333,0,-0.0014,0,722,1,-0.003,0,1012,3,-0.0024,0,1248,3,-0.0026,0,1517,4,-0.0033,0,1826,6,-0.0033,0,2125,7,-0.0033,0,2418,8,-0.003,0,2703,8,-0.0027,0,2977,8,-0.0025,0,3246,8,-0.0026,0,3477,9,-0.0032,0,3698,12,-0.003,0,3964,12
