focal_id,DI_y1,A_y1,B_y1,C_y1,DI_y2,A_y2,B_y2,C_y2,DI_y3,A_y3,B_y3,C_y3,DI_y4,A_y4,B_y4,C_y4,DI_y5,A_y5,B_y5,C_y5,DI_y6,A_y6,B_y6,C_y6,DI_y7,A_y7,B_y7,C_y7,DI_y8,A_y8,B_y8,C_y8,DI_y9,A_y9,B_y9,C_y9,DI_y10,A_y10,B_y10,C_y10,DI_y11,A_y11,B_y11,C_y11,DI_y12,A_y12,B_y12,C_y12,DI_y13,A_y13,B_y13,C_y13,DI_y14,A_y14,B_y14,C_y14,DI_y15,A_y15,B_y15,C_y15,DI_y3_top5,DI_y4_top5,DI_y5_top5,DI_y6_top5,DI_y7_top5,DI_y8_top5,DI_y9_top5,DI_y10_top5,DI_y11_top5,DI_y12_top5,DI_y13_top5,DI_y14_top5,DI_y15_top5,years_in_top5,first_year_top5,last_year_top5
https://openalex.org/W1031027174,0.0,0,61,0,0.0,0,135,0,0.0,0,208,0,0.0,0,273,0,0.0,0,330,0,0.0,0,388,0,0.0,0,447,0,0.0,0,492,0,0.0,0,546,0,0.0,0,605,0,0.0,0,654,0,0.0014,1,700,0,0.0055,4,723,0,0.008,6,747,0,0.0127,10,779,0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,DI_y15_top5,DI_y15_top5
https://openalex.org/W1135991709,0.0,0,43,0,0.0116,1,85,0,0.0138,2,143,0,0.0105,2,188,0,0.0076,2,261,0,0.006,2,332,0,0.0048,2,416,0,0.0043,2,466,0,0.0037,2,537,0,0.0034,2,590,0,0.0047,3,634,0,0.0045,3,661,0,0.0057,4,694,0,0.007,5,713,0,0.0069,5,720,0,True,True,True,False,False,False,False,False,False,False,False,False,False,3,DI_y3_top5,DI_y5_top5
https://openalex.org/W129932795,-0.0056,0,177,1,0.0129,8,378,3,0.0131,12,593,4,0.0096,16,806,8,0.0101,19,1057,8,0.0097,22,1315,9,0.0098,29,1589,13,0.0115,39,1864,17,0.0128,46,2127,18,0.0138,54,2395,20,0.0147,61,2637,21,0.0158,69,2822,23,0.0172,77,2976,24,0.0168,79,3103,25,0.0172,83,3210,26,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W140545373,0.0,0,22,0,0.0351,2,55,0,0.0341,3,85,0,0.0459,5,104,0,0.0422,7,159,0,0.0357,7,189,0,0.0281,7,242,0,0.0244,7,280,0,0.0219,7,312,0,0.022,8,355,0,0.02,8,393,0,0.0188,8,418,0,0.0171,8,459,0,0.0159,8,496,0,0.0151,8,522,0,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W144734855,0.0,0,149,0,0.0034,1,292,0,0.0022,2,461,1,0.0063,5,631,1,0.0048,5,824,1,0.0041,5,975,1,0.0035,6,1130,2,0.0046,9,1290,3,0.0055,11,1439,3,0.0044,11,1582,4,0.0047,12,1696,4,0.0055,15,1795,5,0.0052,15,1906,5,0.0048,15,2054,5,0.005,16,2168,5,False,True,False,False,False,False,False,False,False,False,False,False,False,1,DI_y4_top5,DI_y4_top5
https://openalex.org/W1483359549,0.0,0,17,0,0.0513,2,37,0,0.0984,6,55,0,0.093,9,76,1,0.0763,10,107,1,0.0688,12,147,1,0.0777,17,174,2,0.0727,18,200,2,0.0612,18,224,3,0.0659,21,249,3,0.0662,23,276,3,0.0644,24,299,3,0.0657,26,321,3,0.0643,27,343,3,0.0566,27,394,3,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W1488544227,0.0152,1,65,0,0.0258,4,151,0,0.0328,8,236,0,0.0299,10,325,0,0.0358,16,431,0,0.032,18,512,1,0.0257,20,639,3,0.0303,30,756,6,0.0322,35,860,6,0.0295,36,975,6,0.0285,41,1074,9,0.0275,42,1148,9,0.029,47,1219,10,0.0274,47,1292,10,0.0265,47,1341,10,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W1492740679,0.0,0,51,0,0.0088,3,109,2,0.006,4,160,3,0.0129,6,223,3,0.0033,6,292,5,0.0025,8,384,7,0.0041,10,469,8,0.0035,12,549,10,0.0031,14,614,12,0.0014,15,697,14,-0.0026,15,752,17,-0.0024,16,788,18,-0.0023,17,831,19,0.0011,20,863,19,0.0,20,886,20,True,True,False,False,False,False,False,False,False,False,False,False,False,2,DI_y3_top5,DI_y4_top5
https://openalex.org/W1496983530,0.0588,1,16,0,0.0465,2,41,0,0.3261,30,62,0,0.3119,34,75,0,0.2764,34,89,0,0.2576,34,98,0,0.2329,34,112,0,0.2099,34,128,0,0.2105,36,135,0,0.1937,37,154,0,0.1787,37,170,0,0.1767,38,177,0,0.1733,39,186,0,0.1688,39,192,0,0.166,39,196,0,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W1503351667,0.0,0,42,0,0.012,1,82,0,0.0156,2,126,0,0.0395,7,170,0,0.0439,11,216,1,0.0414,12,253,1,0.0417,14,297,1,0.041,16,349,1,0.0473,22,399,2,0.045,23,442,2,0.0456,26,498,2,0.0423,26,540,2,0.0357,27,584,5,0.0347,28,629,5,0.0376,31,656,5,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
