work_id,author_position,author_id,author_name,author_orcid,institution_id,institution_name,institution_country,prior_pubs_before_2004
https://openalex.org/W2419431196,first,https://openalex.org/A5047229772,Thomas R. De Gregori,,,,,93
https://openalex.org/W2064790936,first,https://openalex.org/A5111617351,Achilles A. Armenakis,,https://openalex.org/I82497590,Auburn University,US,71
https://openalex.org/W2131918768,first,https://openalex.org/A5083170212,Bülent Diken,https://orcid.org/0000-0002-2661-8568,https://openalex.org/I67415387,Lancaster University,GB,17
https://openalex.org/W2131918768,last,https://openalex.org/A5063852519,Carsten Bagge Laustsen,,https://openalex.org/I204337017,Aarhus University,DK,19
https://openalex.org/W2068615534,first,https://openalex.org/A5065601173,Keith Forrester,,https://openalex.org/I130828816,University of Leeds,GB,20
https://openalex.org/W2128310207,first,https://openalex.org/A5031220586,Rebecca Gajda,,https://openalex.org/I111236770,University of Vermont,US,1
https://openalex.org/W2338013205,first,https://openalex.org/A5066232400,Man Ching Frankie Ng,https://orcid.org/0000-0003-2383-5601,https://openalex.org/I14243506,Hong Kong Polytechnic University,HK,12
https://openalex.org/W1989029211,first,https://openalex.org/A5028675985,Víctor Dulewicz,https://orcid.org/0000-0002-2910-3092,https://openalex.org/I71052956,University of Reading,GB,26
https://openalex.org/W1989029211,last,https://openalex.org/A5109959007,Peter Herbert,,https://openalex.org/I71052956,University of Reading,GB,6
https://openalex.org/W1970914875,first,https://openalex.org/A5089863176,John M. Jermier,,https://openalex.org/I2613432,University of South Florida,US,78
https://openalex.org/W2016918048,first,https://openalex.org/A5085703840,Zillur Rahman,https://orcid.org/0000-0003-2785-0200,https://openalex.org/I154851008,Indian Institute of Technology Roorkee,IN,20
https://openalex.org/W2026251212,first,https://openalex.org/A5079899590,Peter Nolan,,https://openalex.org/I241749,University of Cambridge,GB,145
https://openalex.org/W2026251212,middle,https://openalex.org/A5056036255,Alan Shipman,https://orcid.org/0000-0002-7126-5466,https://openalex.org/I241749,University of Cambridge,GB,22
https://openalex.org/W2026251212,last,https://openalex.org/A5018384183,Huaichuan Rui,https://orcid.org/0000-0001-8121-6724,https://openalex.org/I241749,University of Cambridge,GB,0
https://openalex.org/W2007371668,first,https://openalex.org/A5109333596,Woodrow W. Clark,,,"Clark Communications, LLC, Beverly Hills, CA 90209, USA",,35
https://openalex.org/W2007371668,middle,https://openalex.org/A5109965346,Jérémy Rifkin,,,"Clark Communications, LLC, Beverly Hills, CA 90209, USA",,83
https://openalex.org/W2007371668,middle,https://openalex.org/A5025946185,Todd O'Connor,,,"Clark Communications, LLC, Beverly Hills, CA 90209, USA",,0
