focal_id,issn_clean,SJR Best Quartile
https://openalex.org/W1031027174,0022-4065,Q1
https://openalex.org/W1135991709,0042-8736,-
https://openalex.org/W129932795,0895-6308,Q2
https://openalex.org/W140545373,0927-7544,Q2
https://openalex.org/W144734855,0028-0283,Q1
https://openalex.org/W1483359549,1361-2026,Q2
https://openalex.org/W1488544227,0263-2373,Q2
https://openalex.org/W1492740679,0960-0035,Q1
https://openalex.org/W1496983530,0007-070X,Q2
https://openalex.org/W1503351667,0262-1711,Q1
https://openalex.org/W1503686863,0268-6902,Q2
https://openalex.org/W1503730632,0025-1747,Q2
https://openalex.org/W1505159369,0020-5346,Q3
https://openalex.org/W1506705325,0955-534X,Q3
https://openalex.org/W1506886164,0144-3577,Q1
https://openalex.org/W1507282707,0950-4222,Q2
https://openalex.org/W1509383477,1470-7853,Q2
https://openalex.org/W1513939923,0263-2373,Q2
https://openalex.org/W1514728422,0143-7720,Q3
https://openalex.org/W1526405173,0735-9683,Q2
https://openalex.org/W1539242837,1054-8408,Q1
https://openalex.org/W1543348012,0953-4814,Q2
https://openalex.org/W1550066983,0895-6308,Q2
https://openalex.org/W1550170362,1052-3928,Q2
https://openalex.org/W1550223648,1463-578X,Q1
https://openalex.org/W1551301273,0960-0035,Q1
https://openalex.org/W1556442971,1463-5771,Q1
https://openalex.org/W1564484465,1741-0401,-
https://openalex.org/W1564825352,1469-1930,Q1
https://openalex.org/W1565064111,1469-1930,Q1
https://openalex.org/W1567889462,0263-4503,Q2
https://openalex.org/W1571988900,1544-9106,-
https://openalex.org/W1572466188,0895-6308,Q2
https://openalex.org/W1573690146,0925-5273,Q1
https://openalex.org/W1578672048,0748-8157,Q3
https://openalex.org/W1585106175,0143-7739,Q1
https://openalex.org/W1585309240,0969-6474,Q3
https://openalex.org/W1586840112,0263-2373,Q2
https://openalex.org/W1596448420,0142-5455,Q1
https://openalex.org/W1598161593,1361-2026,Q2
https://openalex.org/W1689364829,0167-2533,Q2
https://openalex.org/W1706535000,1092-7026,Q3
https://openalex.org/W1885319801,1351-1610,Q2
https://openalex.org/W1897824899,0022-166X,Q1
https://openalex.org/W1912045628,1032-3732,Q3
https://openalex.org/W1940525558,1049-5142,Q3
https://openalex.org/W1963737321,0167-4544,Q1
https://openalex.org/W1963826361,0263-7863,Q1
https://openalex.org/W1963845285,0960-085X,-
https://openalex.org/W1963916532,0959-6526,Q1
https://openalex.org/W1964158959,0955-534X,Q3
https://openalex.org/W1964159391,0022-0787,Q2
https://openalex.org/W1964180347,0883-2323,Q2
https://openalex.org/W1964224747,1363-2434,Q2
https://openalex.org/W1964475137,0744-6314,-
https://openalex.org/W1964573123,0167-4544,Q1
https://openalex.org/W1964738124,1740-8849,-
https://openalex.org/W1964873082,0733-9364,Q1
https://openalex.org/W1965190884,0276-1467,Q3
https://openalex.org/W1965191954,0020-7543,Q1
https://openalex.org/W1965195202,0957-8765,Q1
https://openalex.org/W1965621063,0887-302X,Q2
https://openalex.org/W1966088424,1368-2148,Q4
https://openalex.org/W1966089542,0007-6813,Q2
https://openalex.org/W1966250951,1035-3046,Q4
https://openalex.org/W1966646125,0168-7034,Q1
https://openalex.org/W1966739934,0736-3761,Q2
https://openalex.org/W1966912557,1741-0398,-
https://openalex.org/W1967132626,0734-371X,Q4
https://openalex.org/W1967236000,0736-3761,Q2
https://openalex.org/W1967807928,1546-542X,-
https://openalex.org/W1968345031,1469-1930,Q1
https://openalex.org/W1968417413,0883-2323,Q2
https://openalex.org/W1968621910,1567-4223,Q2
https://openalex.org/W1968689099,0263-5577,Q1
https://openalex.org/W1968781602,0264-2751,Q1
https://openalex.org/W1969230246,1471-4051,Q3
https://openalex.org/W1969486077,0361-1434,Q2
https://openalex.org/W1969668298,1471-4051,Q3
https://openalex.org/W1969755321,0308-5961,-
https://openalex.org/W1969975653,1741-1432,-
https://openalex.org/W1970914875,1086-0266,Q3
https://openalex.org/W1970992662,1025-3866,Q3
https://openalex.org/W1971093387,1546-542X,-
https://openalex.org/W1971158511,0925-5273,Q1
https://openalex.org/W1971336652,1741-038X,Q3
https://openalex.org/W1971487493,1030-1763,-
https://openalex.org/W1971502455,0953-7287,Q2
https://openalex.org/W1971727000,1048-6682,Q2
https://openalex.org/W1971851075,1056-4926,Q2
https://openalex.org/W1971863078,0144-6193,Q1
https://openalex.org/W1972165684,0261-4367,Q3
https://openalex.org/W1972168343,0033-3352,Q1
https://openalex.org/W1972778100,1614-2411,Q3
https://openalex.org/W1973047640,0143-7720,Q3
https://openalex.org/W1973101971,0025-1747,Q2
https://openalex.org/W1973106778,0261-4367,Q3
https://openalex.org/W1973216346,1035-3046,Q4
https://openalex.org/W1973447978,0936-9937,Q1
https://openalex.org/W1973476812,0020-7543,Q1
https://openalex.org/W1973714833,0040-0912,Q2
https://openalex.org/W1973888975,0959-6526,Q1
https://openalex.org/W1974103539,0363-8111,Q2
https://openalex.org/W1974137683,1368-3500,Q2
https://openalex.org/W1974153919,1037-1656,Q4
https://openalex.org/W1974630465,1042-2587,-
https://openalex.org/W1974807528,1477-7266,Q2
https://openalex.org/W1974808640,0144-6193,Q1
https://openalex.org/W1974898994,0965-3562,Q3
https://openalex.org/W1974910739,0167-9236,Q2
https://openalex.org/W1975060876,0007-070X,Q2
https://openalex.org/W1975070776,1471-8197,Q3
https://openalex.org/W1975499808,0957-8765,Q1
https://openalex.org/W1975786683,1366-5626,Q2
https://openalex.org/W1975867198,0278-4319,Q2
https://openalex.org/W1976155241,1741-038X,Q3
https://openalex.org/W1976263950,0263-7863,Q1
https://openalex.org/W1976434954,0160-791X,Q2
https://openalex.org/W1976867512,0307-4358,Q3
https://openalex.org/W1977121870,1463-001X,Q2
https://openalex.org/W1977161640,1094-9968,Q1
https://openalex.org/W1977553010,1098-2140,Q1
https://openalex.org/W1977607860,0924-865X,Q3
https://openalex.org/W1977608529,0144-6193,Q1
https://openalex.org/W1977796226,0965-8564,-
https://openalex.org/W1977971719,0264-2069,Q2
https://openalex.org/W1978075503,0009-4056,-
https://openalex.org/W1978089362,0265-671X,Q1
https://openalex.org/W1978314647,1354-8166,Q1
https://openalex.org/W1978944460,0040-4969,Q4
https://openalex.org/W1978998773,0925-5273,Q1
https://openalex.org/W1979105701,1045-2354,Q2
https://openalex.org/W1979181096,0954-0962,Q1
https://openalex.org/W1979509100,1741-038X,Q3
https://openalex.org/W1979691230,0960-0035,Q1
https://openalex.org/W1979869921,0363-8111,Q2
https://openalex.org/W1979883225,1526-6125,Q3
https://openalex.org/W1980029563,1472-0701,Q2
https://openalex.org/W1980360850,0016-3287,Q2
https://openalex.org/W1980850924,0040-0912,Q2
https://openalex.org/W1981020606,0025-1747,Q2
https://openalex.org/W1981122804,0263-4503,Q2
https://openalex.org/W1981318802,1352-7592,Q3
https://openalex.org/W1981480806,0748-4526,Q3
https://openalex.org/W1981647117,0895-6308,Q2
https://openalex.org/W1981765810,0959-0552,Q2
https://openalex.org/W1981809662,1468-4330,Q2
https://openalex.org/W1981859409,1463-6689,Q2
https://openalex.org/W1981907545,0963-9284,-
https://openalex.org/W1982083452,1472-0701,Q2
https://openalex.org/W1982436122,1054-8408,Q1
https://openalex.org/W1982730217,1355-2511,Q3
https://openalex.org/W1982827488,0268-4012,-
https://openalex.org/W1982931417,1660-5373,Q4
https://openalex.org/W1983065474,0959-0552,Q2
https://openalex.org/W1983120063,0007-6813,Q2
https://openalex.org/W1983156306,1094-429X,Q2
https://openalex.org/W1983307867,1435-6104,Q2
https://openalex.org/W1983485898,0019-8501,Q1
https://openalex.org/W1983525457,0883-2323,Q2
https://openalex.org/W1983652531,0268-4012,-
