work_id,author_position,author_id,author_name,author_orcid,institution_id,institution_name,institution_country,prior_pubs_before_2004
https://openalex.org/W2106593594,first,https://openalex.org/A5103171591,Karol Sikora,https://orcid.org/0000-0003-4833-140X,https://openalex.org/I2801748203,Hammersmith Hospital,GB,209
https://openalex.org/W2106593594,first,https://openalex.org/A5103171591,Karol Sikora,https://orcid.org/0000-0003-4833-140X,https://openalex.org/I4210122110,Medical Solutions,GB,209
https://openalex.org/W2026735633,first,https://openalex.org/A5049428273,Mary J. Cloninger,https://orcid.org/0000-0002-7551-1003,https://openalex.org/I23732399,Montana State University,US,11
https://openalex.org/W2122272568,first,https://openalex.org/A5038741284,Catherine Yates,,https://openalex.org/I98677209,University of Edinburgh,GB,2
https://openalex.org/W1997160719,first,https://openalex.org/A5051964825,Daniel B. Carr,,https://openalex.org/I145311948,Johns Hopkins University,US,254
https://openalex.org/W1997160719,middle,https://openalex.org/A5013948665,Leonidas C. Goudas,https://orcid.org/0000-0002-3614-3455,https://openalex.org/I1290900354,Tufts Medical Center,US,51
https://openalex.org/W1997160719,middle,https://openalex.org/A5110046960,William T. Denman,,https://openalex.org/I1290900354,Tufts Medical Center,US,14
https://openalex.org/W1997160719,middle,https://openalex.org/A5000303463,Daniel Brookoff,,https://openalex.org/I4210128862,Methodist Hospital,US,38
https://openalex.org/W1997160719,middle,https://openalex.org/A5057084111,Philip T. Lavin,https://orcid.org/0000-0002-8381-0740,,"Averion, Inc., 4 California Avenue, Framingham, MA 01701, USA",,87
https://openalex.org/W1997160719,last,https://openalex.org/A5089104504,Peter S. Staats,https://orcid.org/0000-0002-4079-5165,https://openalex.org/I145311948,Johns Hopkins University,US,62
https://openalex.org/W2023485283,first,https://openalex.org/A5040855115,Naznin Ara Khatune,,https://openalex.org/I902853133,University of Rajshahi,BD,11
https://openalex.org/W2023485283,middle,https://openalex.org/A5101963955,Md. Ekramul Islam,https://orcid.org/0000-0003-4664-3709,https://openalex.org/I902853133,University of Rajshahi,BD,5
https://openalex.org/W2023485283,middle,https://openalex.org/A5078953104,Mohammad Rashedul Haque,https://orcid.org/0000-0001-5980-3877,https://openalex.org/I902853133,University of Rajshahi,BD,52
https://openalex.org/W2023485283,middle,https://openalex.org/A5071492093,Proma Khondkar,https://orcid.org/0000-0002-1613-472X,https://openalex.org/I902853133,University of Rajshahi,BD,8
https://openalex.org/W2023485283,last,https://openalex.org/A5003603680,M. Mukhlesur Rahman,https://orcid.org/0000-0001-8180-7970,https://openalex.org/I181647926,University of Strathclyde,GB,11
https://openalex.org/W2158328266,first,https://openalex.org/A5059372185,Janice E. Chambers,https://orcid.org/0000-0002-7826-7042,https://openalex.org/I99041443,Mississippi State University,US,103
https://openalex.org/W2158328266,last,https://openalex.org/A5067307650,Seth F. Oppenheimer,,,,,21
https://openalex.org/W1981806512,first,https://openalex.org/A5005536202,Hermann M. Bolt,https://orcid.org/0000-0002-5271-5871,https://openalex.org/I200332995,TU Dortmund University,DE,303
https://openalex.org/W1981806512,last,https://openalex.org/A5020530598,Klaus Golka,https://orcid.org/0000-0003-0954-3805,https://openalex.org/I200332995,TU Dortmund University,DE,89
https://openalex.org/W2091858503,first,https://openalex.org/A5089343364,Hiranthi Jayasuriya,,https://openalex.org/I2802176782,New York Botanical Garden,US,30
https://openalex.org/W2091858503,first,https://openalex.org/A5089343364,Hiranthi Jayasuriya,,https://openalex.org/I4210144418,MSD (Spain),ES,30
