focal_id,DI_y1,A_y1,B_y1,C_y1,DI_y2,A_y2,B_y2,C_y2,DI_y3,A_y3,B_y3,C_y3,DI_y4,A_y4,B_y4,C_y4,DI_y5,A_y5,B_y5,C_y5,DI_y6,A_y6,B_y6,C_y6,DI_y7,A_y7,B_y7,C_y7,DI_y8,A_y8,B_y8,C_y8,DI_y9,A_y9,B_y9,C_y9,DI_y10,A_y10,B_y10,C_y10,DI_y11,A_y11,B_y11,C_y11,DI_y12,A_y12,B_y12,C_y12,DI_y13,A_y13,B_y13,C_y13,DI_y14,A_y14,B_y14,C_y14,DI_y15,A_y15,B_y15,C_y15
https://openalex.org/W1008705054,0.0,1,3719,1,-0.0004,2,7893,5,-0.0002,3,12272,6,-0.0004,3,17072,10,-0.0005,3,22118,15,-0.0006,3,27037,20,-0.0006,3,31638,22,-0.0006,3,36236,24,-0.0005,4,41286,24,-0.0005,5,46446,26,-0.0004,8,51972,27,-0.0004,8,57851,29,-0.0003,9,63096,29,-0.0003,9,68380,29,-0.0003,9,72734,29
https://openalex.org/W100923692,-0.0035,0,285,1,-0.01,0,596,6,-0.0079,2,872,9,-0.0108,3,1187,16,-0.0092,3,1503,17,-0.0083,4,1787,19,-0.0081,4,2061,21,-0.0073,4,2309,21,-0.0072,4,2598,23,-0.0069,5,2881,25,-0.0068,5,3212,27,-0.0071,5,3511,30,-0.0072,5,3714,32,-0.0066,6,3929,32,-0.0067,6,4123,34
https://openalex.org/W102262431,0.0,1,1732,1,-0.0005,1,3733,3,-0.0007,3,5966,7,-0.0006,4,8325,9,-0.0006,5,10997,12,-0.0006,6,13618,14,-0.0007,7,16336,18,-0.0007,7,19194,20,-0.0007,7,22272,23,-0.0006,9,25326,24,-0.0005,11,28820,25,-0.0004,13,32108,26,-0.0003,14,35118,26,-0.0003,15,38315,28,-0.0003,16,40951,29
https://openalex.org/W107021487,0.0,0,1395,0,0.0003,1,3104,0,0.0008,4,5077,0,0.0006,4,7193,0,0.0005,5,9523,0,0.0003,5,11869,1,0.0004,6,14107,1,0.0004,7,16178,1,0.0004,8,18404,1,0.0003,8,20514,1,0.0004,10,22763,1,0.0004,10,24942,1,0.0004,13,26672,1,0.0004,13,28257,1,0.0004,13,29674,1
https://openalex.org/W107217319,0.0,1,143,1,0.0063,3,316,1,0.004,3,495,1,0.003,3,663,1,0.0058,6,848,1,0.0053,6,940,1,0.0051,6,967,1,0.006,7,985,1,0.0069,8,1002,1,0.0068,8,1020,1,0.0065,8,1065,1,0.0064,8,1077,1,0.0073,9,1084,1,0.008,10,1116,1,0.008,10,1118,1
https://openalex.org/W110003625,0.0003,1,2927,0,0.0005,3,6209,0,0.0004,4,9659,0,0.0004,5,13250,0,0.0004,6,16885,0,0.0003,6,20405,0,0.0003,7,23710,0,0.0003,8,26974,1,0.0003,11,30610,1,0.0004,13,34036,1,0.0003,13,37884,1,0.0003,14,41971,1,0.0003,15,45733,1,0.0003,17,49622,2,0.0003,20,53502,2
https://openalex.org/W110643674,-0.0,3,203967,5,-0.0,8,427067,16,-0.0,10,666999,31,-0.0,11,925317,45,-0.0,17,1208612,53,-0.0,23,1483699,65,-0.0,30,1731084,80,-0.0,36,1958780,84,-0.0,51,2162102,87,-0.0,62,2372003,96,-0.0,65,2598769,106,-0.0,76,2799422,120,-0.0,83,2804243,124,-0.0,88,2807761,130,-0.0,95,2809266,136
https://openalex.org/W1128109639,-0.0008,0,3872,3,-0.0005,0,8242,4,-0.0002,1,12743,4,-0.0002,1,17383,5,-0.0002,1,22206,5,-0.0002,1,26597,5,-0.0002,1,30404,6,-0.0001,1,33784,6,-0.0001,1,36972,6,-0.0001,1,39980,6,-0.0001,1,43011,6,-0.0001,1,45711,6,-0.0001,1,46264,6,-0.0001,1,46852,7,-0.0001,1,47365,7
https://openalex.org/W113147580,0.0,0,418,0,-0.0011,0,906,1,-0.0007,1,1400,2,-0.0005,1,1923,2,-0.0008,1,2429,3,-0.0007,1,2902,3,-0.0009,1,3322,4,-0.0011,1,3724,5,-0.001,1,4154,5,-0.0007,2,4552,5,-0.0006,3,4958,6,-0.0006,3,5377,6,-0.0005,3,5714,6,-0.0003,4,6114,6,-0.0003,4,6420,6
https://openalex.org/W114363873,-0.0006,1,1537,2,-0.0021,1,3288,8,-0.0023,1,5108,13,-0.0027,1,6980,20,-0.0026,2,8950,25,-0.0025,2,10807,29,-0.0024,2,12604,32,-0.0024,2,14364,37,-0.0022,4,16191,39,-0.0017,13,18100,44,-0.0017,14,20143,49,-0.0016,15,22438,51,-0.0014,17,24308,52,-0.0013,18,26126,53,-0.0013,20,27757,55
