new_word,new_word_reuse,new_phrase,new_phrase_reuse,new_word_comb,new_word_comb_reuse,new_phrase_comb,new_phrase_comb_reuse,semantic_distance,n_words,n_phrases,has_abstract,focal_id
0,0,1,3,0,0,5,16,0.1437819004058838,23,12,1,https://openalex.org/W1987632972
0,0,1,6,16,57,10,27,0.1420575380325317,39,15,1,https://openalex.org/W2151585742
0,0,0,0,4,25,24,3262,0.1313427686691284,30,15,1,https://openalex.org/W2057899803
0,0,2,8,24,451,57,5523,0.1318324208259582,46,22,1,https://openalex.org/W2000617141
1,2,1,2,40,135,41,162,0.153687834739685,55,34,1,https://openalex.org/W2146601273
0,0,2,275,0,0,7,132,0.1883805990219116,13,8,1,https://openalex.org/W2090224664
0,0,0,0,69,870,52,502,0.1446361541748047,62,28,1,https://openalex.org/W1979529649
0,0,3,27,20,69,39,166,0.1432554721832275,44,23,1,https://openalex.org/W2102732029
0,0,0,0,0,0,4,14,0.1793211698532104,25,10,1,https://openalex.org/W2018278208
2,42,2,7,44,204,17,56,0.141347050666809,40,17,1,https://openalex.org/W1994958801
0,0,3,18,21,93,48,291,0.1294008493423462,49,25,1,https://openalex.org/W1994599417
0,0,0,0,9,25,1,2,0.147472858428955,21,9,1,https://openalex.org/W2164924181
0,0,0,0,15,232,58,295,0.1375430822372436,45,31,1,https://openalex.org/W2106051761
0,0,1,3,46,219,19,99,0.1282591819763183,53,16,1,https://openalex.org/W2100349128
0,0,0,0,0,0,0,0,0.0247321724891662,7,2,0,https://openalex.org/W2067308378
0,0,0,0,3,201,10,39,0.1263966560363769,16,11,1,https://openalex.org/W2080217338
0,0,1,3,0,0,13,199,0.134893536567688,21,10,1,https://openalex.org/W1994288161
0,0,2,8,16,114,17,70,0.1798762083053589,45,18,1,https://openalex.org/W2140523796
0,0,0,0,2,10,7,32,0.1172084808349609,27,10,1,https://openalex.org/W2113609432
0,0,0,0,60,496,22,136,0.1288627386093139,60,22,1,https://openalex.org/W2109950581
0,0,0,0,6,21,1,2,0.1377742886543274,24,3,1,https://openalex.org/W2136676328
0,0,1,19,20,82,27,132,0.1508789658546447,38,19,1,https://openalex.org/W2120322972
0,0,1,16,39,321,5,16,0.1274743676185608,29,13,1,https://openalex.org/W2041015361
0,0,2,7,66,347,67,291,0.127743124961853,61,29,1,https://openalex.org/W2047004418
0,0,0,0,17,185,2,6,0.1580156683921814,17,5,1,https://openalex.org/W2032603202
0,0,0,0,4,11,3,12,0.140162706375122,37,9,1,https://openalex.org/W2152241705
0,0,0,0,0,0,11,29,0.1404699087142944,30,11,1,https://openalex.org/W2158355140
0,0,0,0,1,274,25,136,0.108157992362976,35,17,1,https://openalex.org/W2037643946
0,0,0,0,13,64,4,62,0.1507394313812256,14,7,1,https://openalex.org/W2036853697
0,0,1,5,55,272,114,374,0.0814359784126281,81,51,1,https://openalex.org/W2055957593
0,0,1,5,14,48,16,35,0.0921307802200317,13,8,1,https://openalex.org/W2002156127
0,0,0,0,13,42,4,22,0.1343618631362915,28,8,1,https://openalex.org/W2097125303
0,0,0,0,0,0,3,11,0.1354493498802185,15,6,1,https://openalex.org/W2128348919
0,0,3,14,3,26,33,165,0.1201679706573486,48,30,1,https://openalex.org/W2150497821
0,0,0,0,0,0,11,57,0.161303699016571,29,13,1,https://openalex.org/W2084182265
0,0,0,0,2,8,1,5,0.1446781158447265,14,7,1,https://openalex.org/W2062387744
0,0,0,0,15,1075,96,1045,0.1430171728134155,53,27,1,https://openalex.org/W2013946586
0,0,0,0,16,77,9,59,0.1428658962249756,30,11,1,https://openalex.org/W2058243076
0,0,1,6,4,29,8,28,0.151160180568695,20,11,1,https://openalex.org/W2013294038
0,0,0,0,0,0,0,0,0.2094990611076355,13,4,1,https://openalex.org/W1996036755
0,0,0,0,12,158,9,89,0.1443831324577331,36,17,1,https://openalex.org/W2007615462
