focal_id,issn_clean,SJR Best Quartile
https://openalex.org/W1033266092,0015-4725,Q3
https://openalex.org/W105278568,0253-2964,Q3
https://openalex.org/W124764201,0021-9673,Q1
https://openalex.org/W126678270,0253-2964,Q3
https://openalex.org/W133928413,0011-9164,Q1
https://openalex.org/W133948679,0022-0248,Q1
https://openalex.org/W147758813,0003-150X,Q2
https://openalex.org/W1481865419,0011-1643,Q2
https://openalex.org/W1481931124,1566-7367,Q1
https://openalex.org/W1482023416,0910-6340,Q2
https://openalex.org/W1485178467,1226-3907,Q4
https://openalex.org/W1485630019,0327-0793,Q3
https://openalex.org/W1488647847,1060-3271,Q2
https://openalex.org/W1489448924,0022-2313,Q1
https://openalex.org/W1494473657,0253-2964,Q3
https://openalex.org/W1497986159,0021-8995,Q2
https://openalex.org/W1498774104,0925-3467,-
https://openalex.org/W150234866,1307-6167,-
https://openalex.org/W1504087240,0022-2313,Q1
https://openalex.org/W1506548672,0253-2964,Q3
https://openalex.org/W1510476511,0022-152X,Q3
https://openalex.org/W1512489345,1388-6150,Q3
https://openalex.org/W1513555481,1002-0721,Q3
https://openalex.org/W1513763149,1566-7367,Q1
https://openalex.org/W1518079683,1307-6167,-
https://openalex.org/W1518262072,0009-5893,Q2
https://openalex.org/W1519230828,0163-3864,Q1
https://openalex.org/W1520750324,0021-8561,Q1
https://openalex.org/W1522789940,0001-9704,Q4
https://openalex.org/W1523454872,0022-2313,Q1
https://openalex.org/W152668036,1010-6030,Q1
https://openalex.org/W1539609497,0927-7757,-
https://openalex.org/W1541068430,1472-3581,Q1
https://openalex.org/W1542151379,1542-1406,Q2
https://openalex.org/W1542252541,1434-1948,Q1
https://openalex.org/W1543112032,0163-3864,Q1
https://openalex.org/W1544285315,0169-4332,-
https://openalex.org/W1550601699,0001-9704,Q4
https://openalex.org/W1551333210,1472-3581,Q1
https://openalex.org/W1556299386,1472-3581,Q1
https://openalex.org/W1556895356,1522-7235,Q2
https://openalex.org/W1556936090,0362-4803,Q3
https://openalex.org/W1559295213,1001-8417,Q3
https://openalex.org/W1562511342,1542-1406,Q2
https://openalex.org/W1564450438,1060-3271,Q2
https://openalex.org/W1566510640,0021-9673,Q1
https://openalex.org/W1570007461,1643-1049,Q4
https://openalex.org/W1578239160,0020-1669,Q1
https://openalex.org/W1584284561,1002-0721,Q3
https://openalex.org/W1585890446,1472-3581,Q1
https://openalex.org/W1586035223,0022-2313,Q1
https://openalex.org/W1590523095,0013-4651,Q1
https://openalex.org/W1592635221,1000-3304,Q3
https://openalex.org/W1594649457,0038-1098,Q1
https://openalex.org/W15969979,0253-2964,Q3
https://openalex.org/W1599668184,0142-5463,Q2
https://openalex.org/W1603831831,0021-9584,Q3
https://openalex.org/W1606278800,1472-3581,Q1
https://openalex.org/W1609811288,0957-4484,Q1
https://openalex.org/W1616385150,1598-5032,Q2
https://openalex.org/W1624998233,0253-2964,Q3
https://openalex.org/W1634840934,0253-2964,Q3
https://openalex.org/W1640192501,0022-4073,Q2
https://openalex.org/W1642237550,0022-4596,Q1
