focal_id,DI_y1,A_y1,B_y1,C_y1,DI_y2,A_y2,B_y2,C_y2,DI_y3,A_y3,B_y3,C_y3,DI_y4,A_y4,B_y4,C_y4,DI_y5,A_y5,B_y5,C_y5,DI_y6,A_y6,B_y6,C_y6,DI_y7,A_y7,B_y7,C_y7,DI_y8,A_y8,B_y8,C_y8,DI_y9,A_y9,B_y9,C_y9,DI_y10,A_y10,B_y10,C_y10,DI_y11,A_y11,B_y11,C_y11,DI_y12,A_y12,B_y12,C_y12,DI_y13,A_y13,B_y13,C_y13,DI_y14,A_y14,B_y14,C_y14,DI_y15,A_y15,B_y15,C_y15,DI_y3_top5,DI_y4_top5,DI_y5_top5,DI_y6_top5,DI_y7_top5,DI_y8_top5,DI_y9_top5,DI_y10_top5,DI_y11_top5,DI_y12_top5,DI_y13_top5,DI_y14_top5,DI_y15_top5,years_in_top5,first_year_top5,last_year_top5
https://openalex.org/W1033266092,0.0,0,45,0,0.033,4,86,1,0.0205,5,139,2,0.0256,9,182,4,0.0162,10,231,6,0.013,11,290,7,0.0113,11,335,7,0.0173,14,383,7,0.0149,15,447,8,0.0135,16,495,9,0.0118,17,566,10,0.0095,17,605,11,0.0102,18,655,11,0.0096,18,700,11,0.0105,19,734,11,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W105617547,0.0045,1,219,0,0.0023,1,438,0,0.0044,3,675,0,0.0056,5,890,0,0.0054,6,1106,0,0.0047,6,1276,0,0.0055,8,1438,0,0.0051,8,1556,0,0.0047,8,1685,0,0.0044,8,1815,0,0.0046,9,1966,0,0.0042,9,2145,0,0.0044,10,2266,0,0.0042,10,2375,0,0.004,10,2476,0,False,True,True,True,True,True,False,False,False,False,False,False,False,5,DI_y4_top5,DI_y8_top5
https://openalex.org/W113555666,0.0,0,44,0,0.0233,3,82,1,0.0145,3,134,1,0.0265,6,182,1,0.021,7,229,2,0.0109,7,264,4,0.0099,7,292,4,0.0093,7,310,4,0.0085,7,340,4,0.0108,8,359,4,0.0103,8,376,4,0.0098,8,395,4,0.0118,9,411,4,0.0136,10,427,4,0.0132,10,440,4,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W113701588,-0.0108,0,92,1,-0.0051,0,195,1,-0.0036,1,276,2,-0.0028,1,354,2,0.0043,4,455,2,0.0037,4,535,2,0.0032,5,610,3,0.0044,6,666,3,0.0079,9,748,3,0.0083,10,827,3,0.0054,10,914,5,0.0069,12,993,5,0.0064,13,1081,6,0.0069,14,1134,6,0.0074,16,1196,7,False,False,True,False,False,False,True,True,True,True,True,True,True,8,DI_y5_top5,DI_y15_top5
https://openalex.org/W115628387,0.0064,3,152,2,0.0069,6,280,4,0.0023,9,410,8,0.0019,10,519,9,0.0048,13,598,10,0.0014,13,665,12,-0.0013,13,718,14,-0.0025,13,766,15,-0.0012,14,794,15,-0.0023,14,839,16,-0.0022,14,882,16,-0.0011,15,916,16,-0.001,15,944,16,-0.001,15,971,16,-0.001,15,990,16,False,False,True,False,False,False,False,False,False,False,False,False,False,1,DI_y5_top5,DI_y5_top5
https://openalex.org/W120082583,0.0,1,24,1,0.0339,3,55,1,0.0253,3,75,1,0.0208,3,92,1,0.0172,3,112,1,0.0222,4,130,1,0.0191,4,152,1,0.0289,6,166,1,0.0205,6,187,2,0.0191,6,201,2,0.0214,8,223,3,0.0195,9,244,4,0.0217,11,260,5,0.024,13,273,6,0.0293,16,284,7,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W124994217,-0.0143,0,69,1,0.0071,2,137,1,0.0093,3,211,1,0.0098,4,301,1,0.0104,5,380,1,0.0108,6,455,1,0.0164,10,537,1,0.0157,11,624,1,0.0183,14,696,1,0.0162,14,789,1,0.017,16,863,1,0.0187,19,945,1,0.0174,19,1015,1,0.0164,19,1075,1,0.0175,21,1122,1,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W137355008,-0.0101,0,197,2,0.0,3,395,3,-0.0016,3,636,4,0.0,7,862,7,0.0,9,1060,9,0.0008,10,1259,9,0.0007,10,1513,9,0.0012,13,1705,11,0.0036,18,1898,11,0.0047,22,2111,12,0.0051,28,2323,16,0.0082,38,2516,17,0.009,45,2711,20,0.0115,54,2892,20,0.0121,62,3047,24,False,False,False,False,False,False,False,False,False,True,True,True,True,4,DI_y12_top5,DI_y15_top5
https://openalex.org/W138536992,0.0,0,33,0,0.0154,1,64,0,0.0106,1,93,0,0.0,1,129,1,-0.0058,1,169,2,-0.0047,1,208,2,-0.0077,1,255,3,-0.0067,1,296,3,-0.0058,1,341,3,-0.0026,2,380,3,-0.0045,2,436,4,-0.002,3,497,4,0.0,4,535,4,0.0034,6,586,4,0.0015,6,638,5,True,False,False,False,False,False,False,False,False,False,False,False,False,1,DI_y3_top5,DI_y3_top5
https://openalex.org/W141447299,0.0,0,51,0,0.0,0,107,0,0.0,1,172,1,0.0,1,209,1,0.0,1,265,1,0.0,1,301,1,0.0,1,350,1,0.0,1,387,1,0.0,1,429,1,0.0,1,465,1,0.0058,4,512,1,0.0036,4,557,2,0.0049,5,603,2,0.0046,5,644,2,0.0044,5,674,2,False,False,False,False,False,False,False,False,True,False,False,False,False,1,DI_y11_top5,DI_y11_top5
