work_id,n_authors,n_affiliations,n_countries,countries,is_international
https://openalex.org/W1033266092,3,3,0,,0
https://openalex.org/W105617547,10,11,1,IT,0
https://openalex.org/W113555666,3,4,1,TW,0
https://openalex.org/W113701588,3,3,1,PK,0
https://openalex.org/W115628387,8,15,2,"UG,US",1
https://openalex.org/W120082583,2,2,1,AU,0
https://openalex.org/W124994217,7,7,2,"AU,PS",1
https://openalex.org/W137355008,3,3,1,NL,0
https://openalex.org/W138536992,5,5,1,MX,0
https://openalex.org/W141447299,5,5,1,MX,0
https://openalex.org/W1448858718,8,8,1,CN,0
https://openalex.org/W146371912,4,4,1,IT,0
https://openalex.org/W1483031894,15,17,1,BR,0
https://openalex.org/W1485178467,5,5,0,,0
https://openalex.org/W1485895052,3,3,0,,0
https://openalex.org/W1488647847,4,6,2,"CN,US",1
https://openalex.org/W1491558175,2,2,0,,0
https://openalex.org/W1491800021,5,11,2,"CN,CZ",1
https://openalex.org/W1495793224,1,2,0,,0
https://openalex.org/W1496019816,5,5,0,,0
https://openalex.org/W1496283956,2,2,1,AU,0
https://openalex.org/W1496401743,3,4,1,US,0
https://openalex.org/W1496448339,4,4,1,JO,0
https://openalex.org/W1498439001,3,3,0,,0
https://openalex.org/W1499993667,5,5,1,BR,0
https://openalex.org/W1501733334,5,5,2,"CN,JP",1
https://openalex.org/W150234866,3,3,1,US,0
https://openalex.org/W1518079683,4,4,0,,0
https://openalex.org/W1519230828,8,16,1,CN,0
https://openalex.org/W1519916598,3,3,1,TR,0
https://openalex.org/W1523671706,10,15,2,"GB,IT",1
https://openalex.org/W1525474543,4,4,0,,0
https://openalex.org/W1529554307,8,8,0,,0
https://openalex.org/W1534104305,3,3,0,,0
https://openalex.org/W1534699022,3,4,1,CA,0
https://openalex.org/W1536605121,2,2,0,,0
https://openalex.org/W1543112032,6,18,1,CN,0
https://openalex.org/W1544193310,7,7,1,CO,0
https://openalex.org/W1546048465,4,4,0,,0
https://openalex.org/W1546684444,6,6,1,CN,0
https://openalex.org/W155601481,2,2,1,BR,0
https://openalex.org/W1556936090,3,3,1,DE,0
https://openalex.org/W1558240236,5,5,1,CN,0
https://openalex.org/W1564450438,3,5,2,"CA,US",1
https://openalex.org/W1567941389,9,9,2,"KR,US",1
https://openalex.org/W1568698693,4,4,1,CN,0
https://openalex.org/W1569512646,7,8,1,TH,0
https://openalex.org/W1571789211,7,7,1,IN,0
https://openalex.org/W1580304705,4,10,2,"AU,CN",1
https://openalex.org/W1580407891,4,6,1,FR,0
https://openalex.org/W1581552612,4,4,1,CN,0
https://openalex.org/W158381893,7,7,1,IT,0
https://openalex.org/W1584917364,4,8,1,CN,0
https://openalex.org/W1585609191,4,4,1,CN,0
https://openalex.org/W1586051086,3,3,1,CH,0
https://openalex.org/W1591841112,3,5,1,GB,0
https://openalex.org/W1593772258,4,4,1,DE,0
https://openalex.org/W1595239785,3,3,1,US,0
https://openalex.org/W1596450270,4,5,2,"CN,US",1
https://openalex.org/W1599668184,3,3,1,TH,0
https://openalex.org/W1621996342,1,2,0,,0
https://openalex.org/W1623321909,8,8,1,AU,0
https://openalex.org/W1638240281,5,5,1,BR,0
https://openalex.org/W165547656,6,6,1,CM,0
https://openalex.org/W1680463415,6,11,1,BR,0
https://openalex.org/W1688062746,10,17,2,"CN,US",1
https://openalex.org/W1698027321,1,1,0,,0
https://openalex.org/W1704381730,5,5,1,MY,0
https://openalex.org/W170991780,2,2,1,AU,0
https://openalex.org/W1711897475,6,6,1,IT,0
https://openalex.org/W1715864491,2,2,1,MX,0
https://openalex.org/W1719362820,6,6,0,,0
https://openalex.org/W1730794610,9,9,2,"BE,VN",1
https://openalex.org/W1739255037,3,3,0,,0
https://openalex.org/W175393920,4,4,1,IT,0
https://openalex.org/W1761780895,9,9,1,JP,0
https://openalex.org/W1766120787,2,2,1,JP,0
https://openalex.org/W1784595984,9,11,1,JP,0
https://openalex.org/W1827901836,9,10,1,IT,0
https://openalex.org/W1828809414,3,3,1,AU,0
https://openalex.org/W1843586791,4,5,2,"CA,LK",1
https://openalex.org/W1844218853,5,5,1,CN,0
https://openalex.org/W1847381602,6,6,1,IT,0
https://openalex.org/W1855154847,6,6,1,IT,0
https://openalex.org/W1865967920,10,10,1,IT,0
https://openalex.org/W1866418008,5,5,1,BE,0
https://openalex.org/W1868413803,3,3,1,US,0
https://openalex.org/W187385320,2,2,0,,0
https://openalex.org/W187469247,3,6,1,GB,0
https://openalex.org/W1878748002,3,3,1,BR,0
https://openalex.org/W1894285766,4,4,0,,0
https://openalex.org/W1904191008,3,3,0,,0
https://openalex.org/W1916130854,3,3,1,CN,0
https://openalex.org/W1944727074,1,1,0,,0
https://openalex.org/W194619885,6,6,1,US,0
https://openalex.org/W1955564769,7,7,0,,0
https://openalex.org/W1963565762,4,4,1,TW,0
