focal_id,issn_clean,SJR Best Quartile
https://openalex.org/W1033266092,0015-4725,Q4
https://openalex.org/W105617547,0114-5916,Q1
https://openalex.org/W113555666,1555-9475,Q3
https://openalex.org/W113701588,1011-601X,Q3
https://openalex.org/W115628387,1359-6535,Q1
https://openalex.org/W120082583,1555-9475,Q3
https://openalex.org/W124994217,0002-9459,Q2
https://openalex.org/W137355008,1555-9475,Q3
https://openalex.org/W138536992,0031-7144,Q2
https://openalex.org/W141447299,1555-9475,Q3
https://openalex.org/W1448858718,1555-9475,Q3
https://openalex.org/W146371912,1555-9475,Q3
https://openalex.org/W1483031894,0007-1188,Q1
https://openalex.org/W1485178467,1226-3907,Q3
https://openalex.org/W1485895052,1996-0875,-
https://openalex.org/W1488647847,1060-3271,Q2
https://openalex.org/W1491558175,1808-4532,Q3
https://openalex.org/W1491800021,1875-5364,Q4
https://openalex.org/W1495793224,0007-1188,Q1
https://openalex.org/W1496019816,0253-0716,-
https://openalex.org/W1496283956,1885-642X,Q3
https://openalex.org/W1496401743,1934-9254,Q4
https://openalex.org/W1496448339,0973-1296,Q4
https://openalex.org/W1498439001,1119-5096,Q3
https://openalex.org/W1499993667,1516-0572,Q3
https://openalex.org/W1501733334,1482-1826,Q2
https://openalex.org/W150234866,1307-6167,-
https://openalex.org/W1518079683,1307-6167,-
https://openalex.org/W1519230828,0163-3864,Q1
https://openalex.org/W1519916598,0365-6233,Q2
https://openalex.org/W1523671706,0007-1188,Q1
https://openalex.org/W1525474543,1996-0875,-
https://openalex.org/W1529554307,1996-0816,-
https://openalex.org/W1534104305,1119-5096,Q3
https://openalex.org/W1534699022,1482-1826,Q2
https://openalex.org/W1536605121,1119-5096,Q3
https://openalex.org/W1543112032,0163-3864,Q1
https://openalex.org/W1544193310,0121-4004,-
https://openalex.org/W1546048465,1119-5096,Q3
https://openalex.org/W1546684444,1875-5364,Q4
https://openalex.org/W155601481,1555-9475,Q3
https://openalex.org/W1556936090,0362-4803,Q3
https://openalex.org/W1558240236,1875-5364,Q4
https://openalex.org/W1564450438,1060-3271,Q2
https://openalex.org/W1567941389,0394-6320,Q3
https://openalex.org/W1568698693,1875-5364,Q4
https://openalex.org/W1569512646,1355-6215,Q1
https://openalex.org/W1571789211,0971-6580,Q4
https://openalex.org/W1580304705,0269-4727,Q2
https://openalex.org/W1580407891,0007-1188,Q1
https://openalex.org/W1581552612,1875-5364,Q4
https://openalex.org/W158381893,1555-9475,Q3
https://openalex.org/W1584917364,1875-5364,Q4
https://openalex.org/W1585609191,1875-5364,Q4
https://openalex.org/W1586051086,1934-8282,Q4
https://openalex.org/W1591841112,0306-5251,Q1
https://openalex.org/W1593772258,0031-7144,Q2
https://openalex.org/W1595239785,1699-3993,Q2
https://openalex.org/W1596450270,1875-5364,Q4
https://openalex.org/W1599668184,0142-5463,Q2
https://openalex.org/W1621996342,1934-9254,Q4
https://openalex.org/W1623321909,0007-1188,Q1
https://openalex.org/W1638240281,0102-695X,Q2
https://openalex.org/W165547656,1555-9475,Q3
https://openalex.org/W1680463415,1482-1826,Q2
https://openalex.org/W1688062746,0378-8741,Q1
https://openalex.org/W1698027321,0261-1929,Q3
https://openalex.org/W1704381730,0254-8704,Q3
https://openalex.org/W170991780,1555-9475,Q3
https://openalex.org/W1711897475,0394-6320,Q3
https://openalex.org/W1715864491,1307-6167,-
https://openalex.org/W1719362820,0015-4725,Q4
https://openalex.org/W1730794610,1555-9475,Q3
https://openalex.org/W1739255037,1996-0875,-
https://openalex.org/W175393920,0394-6320,Q3
https://openalex.org/W1761780895,0269-4727,Q2
https://openalex.org/W1766120787,0261-1929,Q3
https://openalex.org/W1784595984,0394-6320,Q3
https://openalex.org/W1827901836,0394-6320,Q3
https://openalex.org/W1828809414,0269-4727,Q2
https://openalex.org/W1843586791,1555-9475,Q3
https://openalex.org/W1844218853,0007-4861,Q3
https://openalex.org/W1847381602,0394-6320,Q3
https://openalex.org/W1855154847,0394-6320,Q3
https://openalex.org/W1865967920,0394-6320,Q3
https://openalex.org/W1866418008,0007-1188,Q1
https://openalex.org/W1868413803,1555-9475,Q3
https://openalex.org/W187385320,1307-6167,-
https://openalex.org/W187469247,0114-5916,Q1
https://openalex.org/W1878748002,0102-695X,Q2
https://openalex.org/W1894285766,1996-0875,-
https://openalex.org/W1904191008,0015-4725,Q4
https://openalex.org/W1916130854,1482-1826,Q2
https://openalex.org/W1944727074,1555-9475,Q3
https://openalex.org/W194619885,1555-9475,Q3
https://openalex.org/W1955564769,1307-6167,-
https://openalex.org/W1963565762,0273-2300,Q2
https://openalex.org/W1963636848,0887-2333,Q2
https://openalex.org/W1963718241,0145-6008,Q1
https://openalex.org/W1963826119,1538-4047,Q1
https://openalex.org/W1963937609,0918-6158,Q1
https://openalex.org/W1964002197,1079-2082,Q2
https://openalex.org/W1964015173,0378-5173,Q1
https://openalex.org/W196401934,1868-596X,Q3
https://openalex.org/W1964021292,0223-5234,Q2
https://openalex.org/W1964027932,0040-4020,Q1
https://openalex.org/W1964043134,0893-133X,Q1
https://openalex.org/W1964217657,1083-7450,Q2
https://openalex.org/W1964233307,1757-6180,-
https://openalex.org/W1964345983,0022-2623,Q1
https://openalex.org/W1964391435,1420-3049,Q2
https://openalex.org/W1964422665,0958-0344,Q2
https://openalex.org/W1964514956,0960-894X,Q1
https://openalex.org/W1964559497,0731-7085,Q1
https://openalex.org/W1964578437,0142-5463,Q2
https://openalex.org/W1964617798,0009-2363,Q2
https://openalex.org/W1964656246,0007-4861,Q3
https://openalex.org/W1964663305,0269-4727,Q2
https://openalex.org/W1964682992,0960-894X,Q1
https://openalex.org/W1964896561,1875-5364,Q4
https://openalex.org/W1964931027,0040-4039,Q1
https://openalex.org/W1964946172,0365-6233,Q2
https://openalex.org/W1965015107,0040-4039,Q1
https://openalex.org/W1965020233,0951-418X,Q2
https://openalex.org/W1965038511,0022-2623,Q1
https://openalex.org/W1965040275,0944-7113,Q1
https://openalex.org/W1965105862,0223-5234,Q2
https://openalex.org/W1965137841,0378-8741,Q1
https://openalex.org/W1965148737,0014-2999,Q2
https://openalex.org/W1965212047,0163-3864,Q1
https://openalex.org/W1965307398,0306-5251,Q1
https://openalex.org/W1965310771,0887-2333,Q2
https://openalex.org/W1965381284,0014-2999,Q2
https://openalex.org/W1965440990,0022-2623,Q1
https://openalex.org/W1965537857,0142-5463,Q2
https://openalex.org/W1965541865,0223-5234,Q2
https://openalex.org/W1965658545,0040-4039,Q1
https://openalex.org/W1965682664,0269-7491,Q1
https://openalex.org/W1965711485,1120-009X,Q3
https://openalex.org/W1965714705,0007-4861,Q3
https://openalex.org/W1965772289,0731-7085,Q1
https://openalex.org/W1965814040,0960-894X,Q1
https://openalex.org/W1965852996,0968-0896,Q1
https://openalex.org/W1965927283,0731-7085,Q1
https://openalex.org/W1966015777,0253-6269,Q3
https://openalex.org/W1966125486,0378-5173,Q1
https://openalex.org/W1966137747,1549-4810,Q4
https://openalex.org/W1966148271,0269-3879,Q2
https://openalex.org/W1966191258,0169-409X,Q1
https://openalex.org/W1966201512,0009-2797,Q2
https://openalex.org/W1966202467,1340-3443,-
https://openalex.org/W1966257666,0014-2999,Q2
https://openalex.org/W1966429896,0968-0896,Q1
https://openalex.org/W1966452731,0918-6158,Q1
https://openalex.org/W1966456594,0306-5251,Q1
https://openalex.org/W1966466061,1420-3049,Q2
https://openalex.org/W1966471417,0022-2623,Q1
https://openalex.org/W1966681447,0018-019X,Q2
https://openalex.org/W1966711219,1875-5364,Q4
https://openalex.org/W1966719812,0040-4039,Q1
https://openalex.org/W1966738181,0899-0042,Q1
https://openalex.org/W1966759074,1359-6446,Q1
https://openalex.org/W1966922317,0223-5234,Q2
https://openalex.org/W1966990151,0378-4274,Q1
https://openalex.org/W1967012270,0944-7113,Q1
https://openalex.org/W1967045317,0163-3864,Q1
https://openalex.org/W1967110146,1330-0075,Q2
https://openalex.org/W1967260331,0040-4020,Q1
https://openalex.org/W1967306136,0918-6158,Q1
https://openalex.org/W1967494893,0040-4039,Q1
https://openalex.org/W1967497513,0040-4039,Q1
https://openalex.org/W1967637067,0165-6147,Q1
https://openalex.org/W1967750255,0278-5846,Q1
https://openalex.org/W1967795695,0040-4020,Q1
https://openalex.org/W1967815298,0009-2363,Q2
https://openalex.org/W1967837565,0223-5234,Q2
https://openalex.org/W1967889674,1538-4047,Q1
https://openalex.org/W1967931438,0968-0896,Q1
https://openalex.org/W1967963849,0018-019X,Q2
https://openalex.org/W1967969973,1054-2523,Q2
https://openalex.org/W1968023478,0944-7113,Q1
https://openalex.org/W1968024866,1673-1581,Q2
https://openalex.org/W1968026962,0114-5916,Q1
https://openalex.org/W1968107606,1673-1581,Q2
https://openalex.org/W1968160155,0378-7966,Q3
https://openalex.org/W1968205340,1389-4501,Q1
https://openalex.org/W1968302051,1570-159X,Q2
https://openalex.org/W1968342588,1530-9932,Q1
https://openalex.org/W1968537072,0305-7453,Q1
https://openalex.org/W1968565529,0378-8741,Q1
https://openalex.org/W1968580669,1120-009X,Q3
https://openalex.org/W1968679905,0066-4804,Q1
https://openalex.org/W1968687513,1054-2523,Q2
https://openalex.org/W1968699160,1544-3191,Q3
https://openalex.org/W1968763546,0223-5234,Q2
https://openalex.org/W1968842834,0002-9459,Q2
https://openalex.org/W1968941639,0767-3981,Q2
https://openalex.org/W1969034407,0223-5234,Q2
https://openalex.org/W1969068492,0163-3864,Q1
https://openalex.org/W1969073767,0378-5173,Q1
https://openalex.org/W1969076710,0378-5173,Q1
https://openalex.org/W1969140159,0022-2623,Q1
https://openalex.org/W1969254392,1043-6618,Q1
https://openalex.org/W1969268692,0278-6915,Q2
https://openalex.org/W1969268861,0040-4039,Q1
https://openalex.org/W1969269933,0968-0896,Q1
https://openalex.org/W1969315394,0040-4039,Q1
https://openalex.org/W1969376033,0960-894X,Q1
https://openalex.org/W1969472330,0040-4039,Q1
https://openalex.org/W1969487998,1543-8384,Q1
