work_id,author_position,author_id,author_name,author_orcid,institution_id,institution_name,institution_country,prior_pubs_before_2009
https://openalex.org/W2015512880,first,https://openalex.org/A5087093402,Mohamed Nabil Srifi,https://orcid.org/0000-0001-7630-8069,https://openalex.org/I240042149,Abdelmalek Essaâdi University,MA,0
https://openalex.org/W2015512880,middle,https://openalex.org/A5039490732,Otman El Mrabet,https://orcid.org/0000-0001-9722-9140,https://openalex.org/I175051016,Universidad Publica de Navarra,ES,11
https://openalex.org/W2015512880,middle,https://openalex.org/A5039490732,Otman El Mrabet,https://orcid.org/0000-0001-9722-9140,https://openalex.org/I240042149,Abdelmalek Essaâdi University,MA,11
https://openalex.org/W2015512880,middle,https://openalex.org/A5005963512,F. Falcone,,https://openalex.org/I175051016,Universidad Publica de Navarra,ES,1
https://openalex.org/W2015512880,middle,https://openalex.org/A5066992232,Mario Sorolla Ayza,,https://openalex.org/I175051016,Universidad Publica de Navarra,ES,42
https://openalex.org/W2015512880,last,https://openalex.org/A5056342867,Mohamed Essaaidi,https://orcid.org/0000-0001-9215-3263,https://openalex.org/I240042149,Abdelmalek Essaâdi University,MA,40
https://openalex.org/W2416568968,first,https://openalex.org/A5111717737,Klaus J. Köhler,,,,,47
https://openalex.org/W2094117632,first,https://openalex.org/A5002920793,Erdal Oruklu,https://orcid.org/0000-0002-2376-8325,https://openalex.org/I180949307,Illinois Institute of Technology,US,29
https://openalex.org/W2094117632,last,https://openalex.org/A5018536803,Jafar Saniie,https://orcid.org/0000-0002-2655-6950,https://openalex.org/I180949307,Illinois Institute of Technology,US,151
https://openalex.org/W2021762720,first,https://openalex.org/A5033590224,Peter G. Malischewsky,,https://openalex.org/I76198965,Friedrich Schiller University Jena,DE,41
https://openalex.org/W2021762720,last,https://openalex.org/A5011386722,Tran Thanh Tuan,https://orcid.org/0000-0001-6116-3987,https://openalex.org/I76198965,Friedrich Schiller University Jena,DE,5
https://openalex.org/W1967232141,first,https://openalex.org/A5020359281,Robert A. Schoonheydt,https://orcid.org/0000-0003-0891-773X,https://openalex.org/I99464096,KU Leuven,BE,324
